city,listing_id,bathrooms,price_per_sqft,build_year,url,price,bedrooms,state,longitude,zip_code,partial_bathrooms,street,address,latitude,house_type,state_code,sqft,neighborhood
New York,3258225322,1,0,1972,https://www.trulia.com/property/3258225322-200-E-24th-St-505-New-York-NY-10010,689000,1,New York,-73.99554,10010,0,E 24th St,"200 East 24th Street #505, New York, NY",40.74476,Coop,NY,,Chelsea
New York,3257554568,4,940.37616,1900,https://www.trulia.com/property/3257554568-104-W-131st-St-New-York-NY-10027,2350000,4,New York,-73.94345,10027,,W 131st St,"104 West 131st Street, New York, NY",40.811626,Multi-Family Home,NY,2499,Harlem
New York,3258335550,1,958,1956,https://www.trulia.com/property/3258335550-440-E-79th-St-14L-New-York-NY-10075,479000,,New York,-73.9514,10075,,E 79th St,"440 East 79th Street #14L, New York, NY",40.771446,Coop,NY,500,Upper East Side
New York,3231436943,3,2117.9927,1927,https://www.trulia.com/property/3231436943-100-Barclay-St-14R-New-York-NY-10007,4685000,3,New York,-74.01257,10007,,Barclay St,"100 Barclay Street #14R, New York, NY",40.713894,Condo,NY,2212,Tribeca
New York,3258504888,1,1453.3623,,https://www.trulia.com/property/3258504888-1399-Park-Ave-12C-New-York-NY-10029,670000,,New York,-73.94878,10029,,Park Ave,"1399 Park Avenue #12C, New York, NY",40.791435,Condo,NY,461,East Harlem
New York,3258420371,1,1275.116,,https://www.trulia.com/property/3258420371-345-E-80th-St-26K-New-York-NY-10075,825000,1,New York,-73.9523,10075,,E 80th St,"345 East 80th Street #26K, New York, NY",40.77347,Condo,NY,647,Upper East Side
New York,3258531825,2,2484.2856,,https://www.trulia.com/property/3258531825-252-South-St-57E-New-York-NY-10002,3478000,3,New York,-73.9893,10002,0,South St,"252 South Street #57E, New York, NY",40.7102,Condo,NY,1400,Lower East Side
New York,3258625413,4,0,,https://www.trulia.com/property/3258625413-1040-Park-Ave-12-E-New-York-NY-10028,5795000,4,New York,-73.95746,10028,,Park Ave,"1040 Park Avenue #12-E, New York, NY",40.780598,Apartment,NY,,Upper East Side
New York,3258625027,2,0,1929,https://www.trulia.com/property/3258625027-336-Central-Park-W-11B-New-York-NY-10025,4250000,2,New York,-73.966225,10025,0,Central Park W,"336 Central Park West #11B, New York, NY",40.79038,Coop,NY,,Upper West Side
New York,1095707482,3,3143.7126,1928,https://www.trulia.com/property/1095707482-28-E-10th-St-10H-New-York-NY-10003,6300000,3,New York,-73.99363,10003,,E 10th St,"28 East 10th Street #10H, New York, NY",40.7324,Condo,NY,2004,Greenwich Village
New York,3167588017,1,1015.7895,1963,https://www.trulia.com/property/3167588017-301-E-69th-St-4K-New-York-NY-10021,965000,2,New York,-73.95926,10021,0,E 69th St,"301 East 69th Street #4K, New York, NY",40.76692,Coop,NY,950,Upper East Side
New York,3258415774,2,2117.5166,,https://www.trulia.com/property/3258415774-121-E-22nd-St-N701-New-York-NY-10010,2865000,2,New York,-73.98569,10010,1,E 22nd St,"121 East 22nd Street #N701, New York, NY",40.73919,Condo,NY,1353,Gramercy Park
New York,3258845697,2,0,1925,https://www.trulia.com/property/3258845697-29-E-9th-St-3-New-York-NY-10003,2849000,2,New York,-73.99722,10003,1,E 9th St,"29 East 9th Street #3, New York, NY",40.733635,Coop,NY,,Greenwich Village
New York,3241828923,1,0,,https://www.trulia.com/property/3241828923-212-E-13th-St-3B-New-York-NY-10003,795000,1,New York,-73.98715,10003,,E 13th St,"212 East 13th Street #3B, New York, NY",40.73213,Coop,NY,,East Village
New York,3246374204,0,0,,https://www.trulia.com/property/3246374204-56-W-76th-St-New-York-NY-10023,8750000,,New York,-73.97655,10023,,W 76th St,"56 West 76th Street, New York, NY",40.779594,Townhome,NY,,Upper West Side
New York,3257163222,1,900,1957,https://www.trulia.com/property/3257163222-139-E-33rd-St-11J-New-York-NY-10016,450000,,New York,-73.98051,10016,0,E 33rd St,"139 East 33rd Street #11J, New York, NY",40.746075,Coop,NY,500,Kips Bay
New York,3258853999,0,0,,https://www.trulia.com/property/3258853999-69-Eldridge-St-A-New-York-NY-10002,5700000,,New York,-73.9929,10002,,Eldridge St,"69 Eldridge Street #A, New York, NY",40.716763,Multi-Family Home,NY,,Chinatown
New York,3258821377,0,0,1905,https://www.trulia.com/property/3258821377-510-W-159th-St-New-York-NY-10032,1100000,,New York,-73.94196,10032,,W 159th St,"510 West 159th Street, New York, NY",40.83422,Apartment,NY,,Washington Heights
New York,3040818428,1,0,1957,https://www.trulia.com/property/3040818428-305-E-72nd-St-15F-New-York-NY-10021,1385000,2,New York,-73.957794,10021,0,E 72nd St,"305 East 72nd Street #15F, New York, NY",40.769047,Coop,NY,,Upper East Side
New York,3112223635,0,1078.616,,https://www.trulia.com/foreclosure/3112223635-106-Central-Park-S-4F-New-York-NY-10019,808962,,New York,-73.9769,10019,,Central Park S,"106 Central Park South #4F, New York, NY",40.76543,Condo,NY,750,Clinton
New York,3257184305,0,521.15283,2004,https://www.trulia.com/foreclosure/3257184305-324-E-112th-St-4B-New-York-NY-10029,559197,,New York,-73.93868,10029,,E 112th St,"324 East 112th Street #4B, New York, NY",40.79379,Condo,NY,1073,East Harlem
New York,3258753784,0,0,,https://www.trulia.com/property/3258753784-21-W-111th-St-New-York-NY-10026,893000,,New York,-73.949455,10026,,W 111th St,"21 West 111th Street, New York, NY",40.797913,Single-Family Home,NY,,Harlem
New York,3258912610,0,0,1930,https://www.trulia.com/foreclosure/3258912610-501-W-156th-St-New-York-NY-10032,47230,,New York,-73.94274,10032,,W 156th St,"501 West 156th Street, New York, NY",40.83252,Coop,NY,,Washington Heights
New York,3246202314,3,0,1900,https://www.trulia.com/property/3246202314-285-Central-Park-W-10W-New-York-NY-10024,5900000,4,New York,-73.96846,10024,,Central Park W,"285 Central Park West #10W, New York, NY",40.787178,Coop,NY,,Upper West Side
New York,3246020743,3,0,1917,https://www.trulia.com/property/3246020743-876-Park-Ave-12S-New-York-NY-10075,5400000,3,New York,-73.9615,10075,,Park Ave,"876 Park Avenue #12S, New York, NY",40.774956,Coop,NY,,Upper East Side
New York,3245574654,3,0,,https://www.trulia.com/property/3245574654-35-E-76th-St-1901-New-York-NY-10021,9000000,2,New York,-73.97573,10021,1,E 76th St,"35 East 76th Street #1901, New York, NY",40.779743,Coop,NY,,Upper West Side
New York,3245490319,4,0,1926,https://www.trulia.com/property/3245490319-90-Riverside-Dr-10B-New-York-NY-10024,7450000,4,New York,-73.98088,10024,,Riverside Dr,"90 Riverside Drive #10B, New York, NY",40.786198,Coop,NY,,Upper West Side
New York,3245396982,8,0,1909,https://www.trulia.com/property/3245396982-75-W-118th-St-New-York-NY-10026,3750000,8,New York,-73.9478,10026,1,W 118th St,"75 West 118th Street, New York, NY",40.80319,Townhome,NY,,Harlem
New York,3245126101,2,0,1937,https://www.trulia.com/property/3245126101-5-Riverside-Dr-10AB-New-York-NY-10023,4495000,3,New York,-73.98511,10023,,Riverside Dr,"5 Riverside Drive #10AB, New York, NY",40.78074,Coop,NY,,Upper West Side
New York,3245292259,4,0,,https://www.trulia.com/property/3245292259-333-E-57th-St-15B-New-York-NY-10022,3995000,3,New York,-73.96373,10022,0,E 57th St,"333 East 57th Street #15B, New York, NY",40.758957,Coop,NY,,Midtown East
New York,3245049103,3,0,1931,https://www.trulia.com/property/3245049103-115-Central-Park-W-10G-New-York-NY-10023,5850000,3,New York,-73.976685,10023,,Central Park W,"115 Central Park West #10G, New York, NY",40.776066,Coop,NY,,Upper West Side
New York,3244271641,8,0,1882,https://www.trulia.com/property/3244271641-164-W-81st-St-New-York-NY-10024,5900000,8,New York,-73.97662,10024,,W 81st St,"164 West 81st Street, New York, NY",40.7839,Townhome,NY,,Upper West Side
New York,3244124925,2,0,1926,https://www.trulia.com/property/3244124925-285-Riverside-Dr-3A-New-York-NY-10025,2700000,3,New York,-73.972435,10025,1,Riverside Dr,"285 Riverside Drive #3A, New York, NY",40.798855,Coop,NY,,Upper West Side
New York,3245763406,4,0,,https://www.trulia.com/property/3245763406-1150-5th-Ave-15A-New-York-NY-10128,11750000,4,New York,-73.95521,10128,1,5th Ave,"1150 5th Avenue #15A, New York, NY",40.78798,Coop,NY,,East Harlem
New York,3243293850,3,0,1924,https://www.trulia.com/property/3243293850-1111-Park-Ave-7B-New-York-NY-10128,5525000,4,New York,-73.95496,10128,,Park Ave,"1111 Park Avenue #7B, New York, NY",40.782333,Coop,NY,,Upper East Side
New York,3243549008,0,0,,https://www.trulia.com/property/3243549008-203-E-7th-St-New-York-NY-10009,6850000,,New York,-73.98003,10009,,E 7th St,"203 East 7th Street, New York, NY",40.724815,Townhome,NY,,East Village
New York,3243621948,2,0,1926,https://www.trulia.com/property/3243621948-245-W-104th-St-14A-New-York-NY-10025,2900000,3,New York,-73.96836,10025,,W 104th St,"245 West 104th Street #14A, New York, NY",40.800007,Coop,NY,,Upper West Side
New York,3244225954,4,0,1966,https://www.trulia.com/property/3244225954-860-United-Nations-Plz-3738D-New-York-NY-10017,6500000,3,New York,-73.96935,10017,,United Nations Plz,"860 United Nations Plaza #3738D, New York, NY",40.749184,Coop,NY,,Midtown East
