city,listing_id,bathrooms,price_per_sqft,build_year,url,price,bedrooms,state,longitude,zip_code,partial_bathrooms,street,address,latitude,house_type,state_code,sqft,neighborhood
San Francisco,3229512400,5,0,1916,https://www.trulia.com/foreclosure/3229512400-2329-Balboa-St-San-Francisco-CA-94121,,,California,-122.48386,94121,,Balboa St,"2329 Balboa Street, San Francisco, CA",37.776093,Condo,CA,3480,Central Richmond
San Francisco,3229512319,1,0,1912,https://www.trulia.com/foreclosure/3229512319-125-Marston-Ave-San-Francisco-CA-94112,,3,California,-122.447044,94112,,Marston Ave,"125 Marston Avenue, San Francisco, CA",37.727222,Single-Family Home,CA,704,Sunnyside
San Francisco,3229338951,2,0,1974,https://www.trulia.com/foreclosure/3229338951-93-Pope-St-San-Francisco-CA-94112,,,California,-122.44059,94112,,Pope St,"93 Pope Street, San Francisco, CA",37.714077,Single-Family Home,CA,1650,Crocker Amazon
San Francisco,3207277969,2,0,1936,https://www.trulia.com/foreclosure/3207277969-316-318-Leland-Ave-San-Francisco-CA-94134,,5,California,-122.409874,94134,,Leland Ave,"316-318 Leland Avenue, San Francisco, CA",37.713467,Single-Family Home,CA,2080,Visitacion Valley
San Francisco,3212814854,0,0,,https://www.trulia.com/foreclosure/3212814854-710-Powell-St-San-Francisco-CA-94108,,,California,-122.40881,94108,,Powell St,"710 Powell Street, San Francisco, CA",37.791298,Apt/Condo/Twnhm,CA,,Chinatown
San Francisco,3227048477,4,0,1911,https://www.trulia.com/foreclosure/3227048477-908-Rhode-Island-St-San-Francisco-CA-94107,,4,California,-122.40225,94107,,Rhode Island St,"908 Rhode Island Street, San Francisco, CA",37.758118,Condo,CA,2610,Potrero Hill
San Francisco,3049291639,2,0,1922,https://www.trulia.com/foreclosure/3049291639-2950-Anza-St-San-Francisco-CA-94121,,4,California,-122.480156,94121,,Anza St,"2950 Anza Street, San Francisco, CA",37.778576,Single-Family Home,CA,3431,Central Richmond
San Francisco,3231233721,2,0,1900,https://www.trulia.com/foreclosure/3231233721-48-50-Pond-St-San-Francisco-CA-94114,,,California,-122.43239,94114,,Pond St,"48-50 Pond Street, San Francisco, CA",37.76344,Condo,CA,1434,Castro
San Francisco,3231233038,2,0,1900,https://www.trulia.com/foreclosure/3231233038-2231-2233-Turk-Blvd-San-Francisco-CA-94118,,,California,-122.445816,94118,,Turk Blvd,"2231-2233 Turk Boulevard, San Francisco, CA",37.77846,Condo,CA,1728,North Park
San Francisco,1061560209,4,0,1926,https://www.trulia.com/foreclosure/1061560209-250-Santa-Paula-Ave-San-Francisco-CA-94127,,4,California,-122.46345,94127,,Santa Paula Ave,"250 Santa Paula Avenue, San Francisco, CA",37.73592,Single-Family Home,CA,3028,Saint Francis Wood
San Francisco,3256082337,0,0,1907,https://www.trulia.com/property/3256082337-353-359-Kearny-San-Francisco-CA-94108,7495000,,California,-122.40427,94108,,359 Kearny,"353 359 Kearny, San Francisco, CA",37.791615,Unspecified,CA,,Chinatown
San Francisco,3212296545,1,1107.0422,,https://www.trulia.com/property/3212296545-555-Fulton-St-226-San-Francisco-CA-94102,786000,1,California,-122.42575,94102,,Fulton St,"555 Fulton Street #226, San Francisco, CA",37.778168,Condo,CA,710,Hayes Valley
San Francisco,3226885474,7,0,1907,https://www.trulia.com/property/3226885474-17-Buena-Vista-Ter-San-Francisco-CA-94117,4999950,5,California,-122.43806,94117,,Buena Vista Ter,"17 Buena Vista Terrace, San Francisco, CA",37.768658,Single-Family Home,CA,,Buena Vista Park
San Francisco,3211144894,1,1365.2344,,https://www.trulia.com/property/3211144894-555-Fulton-St-410-San-Francisco-CA-94102,699000,1,California,-122.42575,94102,,Fulton St,"555 Fulton Street #410, San Francisco, CA",37.778168,Condo,CA,512,Hayes Valley
San Francisco,3215595031,2,936.25,2001,https://www.trulia.com/property/3215595031-128-Morris-St-13-San-Francisco-CA-94107,749000,1,California,-122.4017,94107,,Morris St,"128 Morris Street #13, San Francisco, CA",37.776043,Condo,CA,800,Mission Bay
San Francisco,3258896075,1,862.6943,1900,https://www.trulia.com/property/3258896075-950-Steiner-St-3-San-Francisco-CA-94117,999000,2,California,-122.43319,94117,,Steiner St,"950 Steiner Street #3, San Francisco, CA",37.778233,Condo,CA,1158,Alamo Square
San Francisco,3259152419,1,510.4895,1992,https://www.trulia.com/property/3259152419-1450-Post-St-512-San-Francisco-CA-94109,365000,1,California,-122.425835,94109,,Post St,"1450 Post Street #512, San Francisco, CA",37.78636,Condo,CA,715,Lower Pacific Heights
San Francisco,3242687449,2,607.1107,,https://www.trulia.com/property/3242687449-76-Florentine-St-San-Francisco-CA-94112,674500,3,California,-122.443695,94112,,Florentine St,"76 Florentine Street, San Francisco, CA",37.712177,Single-Family Home,CA,1111,Crocker Amazon
San Francisco,3247000341,3,0,1922,https://www.trulia.com/property/3247000341-2440-Scott-St-San-Francisco-CA-94115,6745000,4,California,-122.43937,94115,,Scott St,"2440 Scott Street, San Francisco, CA",37.792404,Single-Family Home,CA,,Pacific Heights
San Francisco,3259217639,2,594.6844,1939,https://www.trulia.com/property/3259217639-2259-44th-Ave-San-Francisco-CA-94116,895000,2,California,-122.50299,94116,0,44th Ave,"2259 44th Avenue, San Francisco, CA",37.744484,Single-Family Home,CA,1505,Outer Sunset
San Francisco,3255969733,2,0,2016,https://www.trulia.com/property/3255969733-2655-Bush-St-314-San-Francisco-CA-94115,1365000,2,California,-122.44077,94115,,Bush St,"2655 Bush Street #314, San Francisco, CA",37.78582,Condo,CA,,Lower Pacific Heights
San Francisco,3255966416,2,1051.5548,2016,https://www.trulia.com/property/3255966416-3249-17th-St-1-San-Francisco-CA-94110,1285000,2,California,-122.41827,94110,,17th St,"3249 17th Street #1, San Francisco, CA",37.76328,Condo,CA,1222,Mission
San Francisco,3255061262,2,1889.7823,,https://www.trulia.com/property/3255061262-The-Pacific-2121-Webster-St-301-San-Francisco-CA-94115,3995000,3,California,-122.43261,94115,1,Webster St,"2121 Webster Street #301, San Francisco, CA",37.790287,Condo,CA,2114,Pacific Heights
San Francisco,3174918275,0,627.53033,1924,https://www.trulia.com/property/3174918275-4820-Fulton-St-San-Francisco-CA-94121,1550000,4,California,-122.48359,94121,0,Fulton St,"4820 Fulton Street, San Francisco, CA",37.77285,Single-Family Home,CA,2470,Central Richmond
San Francisco,3244945279,1,1469.2096,,https://www.trulia.com/property/3244945279-1242-Sacramento-St-5-San-Francisco-CA-94108,1598500,1,California,-122.41336,94108,0,Sacramento St,"1242 Sacramento Street #5, San Francisco, CA",37.792698,Condo,CA,1088,Nob Hill
San Francisco,3233979103,3,686.49884,,https://www.trulia.com/property/3233979103-767-Bryant-St-203-San-Francisco-CA-94107,2400000,2,California,-122.401566,94107,,Bryant St,"767 Bryant Street #203, San Francisco, CA",37.77636,Loft,CA,3496,Mission Bay
San Francisco,3245049316,0,586.3889,1910,https://www.trulia.com/property/3245049316-947-Broderick-St-San-Francisco-CA-94115,1688800,,California,-122.440674,94115,,Broderick St,"947 Broderick Street, San Francisco, CA",37.779102,Multi-Family Home,CA,2880,North Park
San Francisco,3244112967,2,503.67648,1975,https://www.trulia.com/property/3244112967-255-Lake-Merced-Hill-North-St-San-Francisco-CA-94132,959000,3,California,-122.48395,94132,,Lake Merced Hill North St,"255 Lake Merced Hill North Street, San Francisco, CA",37.71221,Condo,CA,1904,
San Francisco,3255749795,2,1205.0862,,https://www.trulia.com/property/3255749795-72-Townsend-St-610-San-Francisco-CA-94107,1469000,2,California,-122.39035,94107,,Townsend St,"72 Townsend Street #610, San Francisco, CA",37.781387,Condo,CA,1219,South Beach
San Francisco,3244327585,1,866.48865,1982,https://www.trulia.com/property/3244327585-601-Van-Ness-Ave-501-San-Francisco-CA-94102,649000,1,California,-122.42141,94102,,Van Ness Ave,"601 Van Ness Avenue #501, San Francisco, CA",37.781387,Condo,CA,749,Civic Center
San Francisco,1086571939,2,1056.3107,1991,https://www.trulia.com/property/1086571939-201-Harrison-St-1027-San-Francisco-CA-94105,1088000,2,California,-122.39047,94105,0,Harrison St,"201 Harrison Street #1027, San Francisco, CA",37.787586,Condo,CA,1030,South Beach
San Francisco,307869,1,1011.53845,1925,https://www.trulia.com/property/307869-2485-Union-St-2-San-Francisco-CA-94123,1315000,1,California,-122.44006,94123,,Union St,"2485 Union Street #2, San Francisco, CA",37.79637,Condo,CA,1300,Cow Hollow
San Francisco,3239258235,4,2124.2332,1927,https://www.trulia.com/property/3239258235-1090-Chestnut-St-2-San-Francisco-CA-94109,6925000,4,California,-122.42132,94109,1,Chestnut St,"1090 Chestnut Street #2, San Francisco, CA",37.803017,Condo,CA,3260,Russian Hill
San Francisco,3167809742,4,3084.833,1853,https://www.trulia.com/property/3167809742-1032-Broadway-San-Francisco-CA-94133,12000000,4,California,-122.41433,94133,,Broadway,"1032 Broadway, San Francisco, CA",37.797146,Single-Family Home,CA,3890,Russian Hill
San Francisco,3254811732,3,1299.8267,2016,https://www.trulia.com/property/3254811732-441-Linden-St-San-Francisco-CA-94102,2250000,3,California,-122.42523,94102,,Linden St,"441 Linden Street, San Francisco, CA",37.775993,Condo,CA,1731,Hayes Valley
San Francisco,3256083250,0,0,1907,https://www.trulia.com/property/3256083250-3552-3558-20th-St-San-Francisco-CA-94110,1995000,,California,-122.42015,94110,,3558 20th St,"3552 3558 20th Street, San Francisco, CA",37.758556,Multi-Family Home,CA,,Mission
San Francisco,3188299833,3,1651.9231,1920,https://www.trulia.com/property/3188299833-2222-Hyde-St-4-San-Francisco-CA-94109,4295000,3,California,-122.41928,94109,0,Hyde St,"2222 Hyde Street #4, San Francisco, CA",37.80141,Coop,CA,2600,Russian Hill
San Francisco,3246515892,2,0,1908,https://www.trulia.com/property/3246515892-15-Wetmore-St-17-San-Francisco-CA-94108,1345000,3,California,-122.410446,94108,,Wetmore St,"15 Wetmore Street #17, San Francisco, CA",37.793438,Single-Family Home,CA,,Nob Hill
San Francisco,3246396983,2,0,,https://www.trulia.com/property/3246396983-1510-Pacific-Ave-San-Francisco-CA-94109,1599000,2,California,-122.42027,94109,,Pacific Ave,"1510 Pacific Avenue, San Francisco, CA",37.795383,Condo,CA,,Nob Hill
San Francisco,3239193366,3,1308.1968,1895,https://www.trulia.com/property/3239193366-228-Filbert-St-San-Francisco-CA-94133,1995000,3,California,-122.40411,94133,0,Filbert St,"228 Filbert Street, San Francisco, CA",37.802208,Single-Family Home,CA,1525,Telegraph Hill
San Francisco,3245509892,1,0,,https://www.trulia.com/property/3245509892-333-Grant-Ave-706-San-Francisco-CA-94108,899000,1,California,-122.40587,94108,,Grant Ave,"333 Grant Avenue #706, San Francisco, CA",37.79015,Condo,CA,,Downtown
San Francisco,3254769599,2,1239.1158,1909,https://www.trulia.com/property/3254769599-2931A-Fillmore-St-San-Francisco-CA-94123,1850000,2,California,-122.43561,94123,,Fillmore St,"2931A Fillmore Street, San Francisco, CA",37.796543,Condo,CA,1493,Cow Hollow
San Francisco,3246396497,2,0,,https://www.trulia.com/property/3246396497-1512-Pacific-Ave-San-Francisco-CA-94109,1399000,2,California,-122.420296,94109,1,Pacific Ave,"1512 Pacific Avenue, San Francisco, CA",37.795334,Condo,CA,,Nob Hill
San Francisco,3228583233,1,970.4641,1982,https://www.trulia.com/property/3228583233-601-Van-Ness-Ave-228-San-Francisco-CA-94102,460000,,California,-122.42141,94102,,Van Ness Ave,"601 Van Ness Avenue #228, San Francisco, CA",37.781387,Condo,CA,474,Civic Center
San Francisco,3255049069,2,0,,https://www.trulia.com/property/3255049069-111-Chestnut-St-503-San-Francisco-CA-94111,1400000,2,California,-122.4055,94111,,Chestnut St,"111 Chestnut Street #503, San Francisco, CA",37.804245,Condo,CA,,Fisherman's Wharf
San Francisco,3256111316,0,0,1900,https://www.trulia.com/property/3256111316-2664-California-St-San-Francisco-CA-94115,2790000,,California,-122.43825,94115,,California St,"2664 California Street, San Francisco, CA",37.788647,Multi-Family Home,CA,,Pacific Heights
San Francisco,3255075465,3,676.8707,,https://www.trulia.com/property/3255075465-Summit-800-Lot-7-Unit-8-20-Summit-Way-San-Francisco-CA-94132,1393000,3,California,-122.47548,94132,1,Unit 8 20 Summit Way,"Lot 7 Unit 8 20 Summit Way, San Francisco, CA",37.71512,Single-Family Home,CA,2058,Stonestown Apartments
San Francisco,3245736991,1,0,,https://www.trulia.com/property/3245736991-485-Union-St-2-San-Francisco-CA-94133,1315000,1,California,-122.40727,94133,,Union St,"485 Union Street #2, San Francisco, CA",37.800537,Condo,CA,,Telegraph Hill
San Francisco,3241971387,3,646.49927,2002,https://www.trulia.com/property/3241971387-441-19th-Ave-San-Francisco-CA-94121,1699000,4,California,-122.47842,94121,0,19th Ave,"441 19th Avenue, San Francisco, CA",37.779522,Condo,CA,2628,Central Richmond
San Francisco,3232632321,3,0,1916,https://www.trulia.com/property/3232632321-201-Locust-St-San-Francisco-CA-94118,9950000,4,California,-122.45245,94118,,Locust St,"201 Locust Street, San Francisco, CA",37.78906,Single-Family Home,CA,,Presidio Heights
San Francisco,3227526039,4,726.8293,1924,https://www.trulia.com/property/3227526039-827-46th-Ave-San-Francisco-CA-94121,1490000,4,California,-122.50711,94121,,46th Ave,"827 46th Avenue, San Francisco, CA",37.77284,Single-Family Home,CA,2050,Outer Richmond
San Francisco,3222387769,1,856.0311,1922,https://www.trulia.com/property/3222387769-806-40th-Ave-San-Francisco-CA-94121,1100000,2,California,-122.5001,94121,,40th Ave,"806 40th Avenue, San Francisco, CA",37.773506,Single-Family Home,CA,1285,Outer Richmond
San Francisco,3231771455,0,0,1925,https://www.trulia.com/property/3231771455-954-Ingerson-Ave-San-Francisco-CA-94124,1050000,,California,-122.39199,94124,,Ingerson Ave,"954 Ingerson Avenue, San Francisco, CA",37.71883,Income/Investment,CA,,Bayview
San Francisco,3157332146,4,1517.8707,,https://www.trulia.com/property/3157332146-2526-Francisco-St-San-Francisco-CA-94123,5988000,5,California,-122.44687,94123,,Francisco St,"2526 Francisco Street, San Francisco, CA",37.800667,Single-Family Home,CA,3945,Marina
San Francisco,3256266981,3,630.78424,1951,https://www.trulia.com/property/3256266981-138-Clearfield-Dr-San-Francisco-CA-94132,1295000,4,California,-122.49111,94132,,Clearfield Dr,"138 Clearfield Drive, San Francisco, CA",37.731052,Single-Family Home,CA,2053,Merced Manor
San Francisco,3245762216,0,0,1911,https://www.trulia.com/property/3245762216-627-Jackson-St-San-Francisco-CA-94133,1799000,,California,-122.40564,94133,,Jackson St,"627 Jackson Street, San Francisco, CA",37.79597,Multi-Family Home,CA,,Chinatown
San Francisco,3231546470,2,0,1907,https://www.trulia.com/property/3231546470-461-2nd-St-San-Francisco-CA-94107,6995000,2,California,-122.39404,94107,0,2nd St,"461 2nd Street, San Francisco, CA",37.78362,Condo,CA,,South Beach
San Francisco,3212692402,2,709.6774,1907,https://www.trulia.com/property/3212692402-390-392-Fair-Oaks-St-San-Francisco-CA-94110,2200000,5,California,-122.424126,94110,,Fair Oaks St,"390-392 Fair Oaks Street, San Francisco, CA",37.750507,Single-Family Home,CA,3100,Noe Valley
San Francisco,3150127426,2,0,2009,https://www.trulia.com/property/3150127426-338-Spear-St-31A-San-Francisco-CA-94105,2390000,2,California,-122.39047,94105,0,Spear St,"338 Spear Street #31A, San Francisco, CA",37.789486,Condo,CA,,South Beach
San Francisco,3245314724,0,0,1917,https://www.trulia.com/property/3245314724-912-Jackson-St-San-Francisco-CA-94133,2195000,,California,-122.41027,94133,,Jackson St,"912 Jackson Street, San Francisco, CA",37.795696,Multi-Family Home,CA,,Nob Hill
