address,price,floor_size,bathrooms,bedrooms,est_mortgage,zprice,latitude,longitude,FACTS,FEATURES,APPLIANCES INCLUDED,ROOM TYPES,CONSTRUCTION,ADDITIONAL FEATURES,OTHER,street,barough,state,zip
"124 Mackenzie St, Brooklyn, NY 11235",520000.0,2700.0,4.0,3.0,1966.0,1519349.0,40.58012,-73.94042,,"900 sqft basement, Attic, Deck, Finished basement, Flooring: Hardwood, Tile, Intercom, Parking: Garage - Detached, Off street, On street, 3 spaces, 400 sqft garage, Patio, Skylight","Dishwasher, Dryer, Microwave, Refrigerator, Washer","Dining room, Family room, Laundry room, Master bath, Office, Recreation room, Walk-in closet","Exterior material: Stucco, Roof type: Composition, Room count: 7, Stories: 2, Structure type: Contemporary, Unit count: 1","Jacuzzi / Whirlpool, Living room, Parking Type: Garage Detached","Floor size: 2,700 sqft, Heating: Gas, Last remodel year: 2016, Laundry: In Unit, Parcel #: 087550025, Zillow Home ID: 30791246",124 Mackenzie St,Brooklyn,NY,11235
"36 Claver Pl, Brooklyn, NY 11238",3195000.0,4500.0,6.0,6.0,12596.0,2649417.0,40.682095,-73.95778,"Lot: 2,000 sqft, Multi Family, Built in 1901, 3 days on Zillow, Views since listing: 1,243, All time views: 20,265, 21 shoppers saved this home, Cooling: Central, Last sold: May 2015 for $1,540,000, Price/sqft: $710, MLS #: S9330241699","Deck, Fenced Yard, Finished basement, Fireplace, Flooring: Hardwood, Garden, Intercom, Lawn, Mother-in-Law Apartment, Parking: None, Patio","Dishwasher, Dryer, Washer","Dining room, Family room, Library, Office, Walk-in closet","Exterior material: Other, Stories: 4, Structure type: Modern, Unit count: 2",Vintage,"Floor size: 4,500 sqft, Last remodel year: 1901, Laundry: In Unit, Parcel #: 019940040, Zillow Home ID: 30614270",36 Claver Pl,Brooklyn,NY,11238
"755 Belmont Ave # 01, Brooklyn, NY 11208",499000.0,,3.0,4.0,1913.0,,40.67276,-73.88184,"Baths: 2 full, 1 half, Single Family, 4 days on Zillow, Views since listing: 2,721, All time views: 2,722, 37 shoppers saved this home, View Virtual Tour",,,,,,"Last remodel year: 2017, Zillow Home ID: 2095396406",755 Belmont Ave # 01,Brooklyn,NY,11208
"250 W 15th St APT I, New York, NY 10011",850000.0,725.0,1.0,1.0,3351.0,901980.0,40.7399,-74.0014,"Cooperative, Built in 1930, 8 days on Zillow, Views since listing: 1,770, All time views: 1,987, 26 shoppers saved this home, HOA Fee: $1,072/mo, Price/sqft: $1,172, MLS #: 775204","Elevator, Fireplace, Garden, Patio",Dishwasher,,Unit count: 59,"bike_room, cats, co_purchase, dogs, gifts, live_in_super, pets","Floor size: 725 sqft, Zillow Home ID: 2100550953",250 W 15th St APT I,New York,NY,10011
"2318 E 63rd St, Brooklyn, NY 11234",1890000.0,4800.0,4.0,4.0,7451.0,1711219.0,40.612465,-73.90996,,"1600 sqft basement, Barbecue, Cable Ready, Controlled Access, Deck, Double Pane/Storm Windows, Fenced Yard, Finished basement, Fireplace, Flooring: Hardwood, Tile, Other, Intercom, Jetted Tub, Lawn, Parking: Carport, On street, 2 spaces, Patio, Porch, Security System, Skylight, Sprinkler System, Storage, Vaulted Ceiling, View: Territorial, Wet Bar, Wired","Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Breakfast nook, Dining room, Family room, Laundry room, Library, Master bath, Office, Recreation room, Sun room, Walk-in closet","Exterior material: Brick, Metal, Other, Stone, Room count: 10, Stories: 2, Structure type: Other",,"Floor size: 4,800 sqft, Heating: Gas, Last remodel year: 1995, Laundry: In Unit, Parcel #: 086550017, Zillow Home ID: 30789054",2318 E 63rd St,Brooklyn,NY,11234
"445 W 240th St APT 2K, Bronx, NY 10463",319000.0,850.0,1.0,1.0,1223.0,292405.0,40.888595,-73.904479,"Condo, Built in 1949, 7 days on Zillow, Views since listing: 2,313, All time views: 2,393, 21 shoppers saved this home, HOA Fee: $410/mo, Last sold: Sep 2008 for $225,000, Price/sqft: $375",Elevator,,,Unit count: 78,"Amenities: Close to Bus, Close to Railroad, Close to Shops, Elevator, Master Bath, Close to School, Laundry Room/Common, Hardwood Floors As Seen, Close to Park, Property Type: Condominium, Status: Active, Air Conditioning: Window Units, Utilities Included: Heat, Hot Water, Gas, Electric, Air Conditioning, Water, Sewer, Post Office: Bronx, Siding Description: Brick, Water Description: Municipal, Style: Mid Rise, Apartment, Year Built Exception: Actual, Parking: Street Parking, Garage Parking, Hoa Fee Includes: Exterior Maintenance, Snow Removal, Common Area Costs, Trash Collection, Water/Sewer, Other/See Remarks, Garbage: Public, Heating Fuel: Oil Below Ground, Hotwater: Indirect Tank, Heating Type: Radiator, Sq Ft Source: Other, Tax Source: Municipality, Tax Year: 2016, Construction Description: Brick, Included: Dishwasher, Oven/Range, Refrigerator, Sewer Description: Municipal, Pets: No Restrictions, Tax Amount: 2713","Floor size: 850 sqft, Parcel #: 057801015, Zillow Home ID: 29852332",445 W 240th St APT 2K,Bronx,NY,10463
"5915 Madison St, Ridgewood, NY 11385",1299000.0,,2.0,5.0,5121.0,1077154.0,40.7061,-73.90136,"Lot: 2,500 sqft, Multi Family, Built in 1920, 9 days on Zillow, Views since listing: 1,132, All time views: 4,151, 7 shoppers saved this home",,"Range / Oven, Refrigerator",,"Room count: 11, Unit count: 2",,"Heating: Gas, Zillow Home ID: 2097548369",5915 Madison St,Ridgewood,NY,11385
"8303 10th Ave, Brooklyn, NY 11228",999000.0,1535.0,1.0,3.0,3939.0,929313.0,40.619505,-74.01858,,"Finished basement, Flooring: Hardwood, Parking: Garage - Detached, 1 space","Range / Oven, Refrigerator",Dining room,"Exterior material: Brick, Stucco, Room count: 6, Stories: 2, Structure type: Colonial",,"Floor size: 1,535 sqft, Last remodel year: 1899, Parcel #: 060220009, Zillow Home ID: 30699048",8303 10th Ave,Brooklyn,NY,11228
"13018 148th St # 1, Jamaica, NY 11436",499000.0,,3.0,3.0,1913.0,477226.0,40.6683,-73.7904,,,,,,,"Last remodel year: 2017, Zillow Home ID: 2095426224",13018 148th St # 1,Jamaica,NY,11436
"12008 Springfield Blvd # 01, Cambria Heights, NY 11411",469000.0,,3.0,3.0,1798.0,,40.69051,-73.74677,,,,,,,"Last remodel year: 2017, Zillow Home ID: 2095383926",12008 Springfield Blvd # 01,Cambria Heights,NY,11411
