"year","quarter","state","city","code","immid_R","immid_A","immid_D","immid_P","other_R","other_A","other_D","other_P"
"2014","1","Alaska","Anchorage ","ANC",105,83,18,237,NA,NA,NA,NA
"2014","1","Arizona","Phoenix ","PHO",1002,871,48,2872,15,14,NA,136
"2014","1","Arizona","Tucson","TUC",327,304,NA,878,NA,NA,NA,54
"2014","1","Arkansas","Fort Smith ","FSA",107,82,NA,334,NA,NA,NA,14
"2014","1","California","Chula Vista","CVC",674,367,27,1860,22,13,NA,90
"2014","1","California","Fresno ","FRE",709,445,17,2115,NA,31,NA,57
"2014","1","California","Imperial","IMP",141,189,NA,372,14,NA,NA,42
"2014","1","California","Los Angeles ","LOS",1815,1712,76,4565,52,63,NA,251
"2014","1","California","Los Angeles County ","LAC",1921,1473,207,5884,40,31,26,369
"2014","1","California","Sacramento ","SAC",761,620,60,2180,15,NA,NA,78
"2014","1","California","San Bernardino","SBD",1458,1133,96,3967,25,27,15,169
"2014","1","California","San Diego ","SND",526,296,20,1408,28,NA,NA,88
"2014","1","California","San Fernando Valley","SFV",1267,1012,62,3465,17,10,NA,195
"2014","1","California","San Francisco","SFR",1897,1484,69,4821,39,93,NA,262
"2014","1","California","San Jose ","SNJ",1189,775,27,3225,47,82,NA,138
"2014","1","California","Santa Ana","SAA",1310,915,51,3942,40,24,NA,278
"2014","1","Colorado","Denver ","DEN",910,452,88,2744,15,NA,NA,89
"2014","1","Connecticut","Hartford ","HAR",820,501,49,2558,14,NA,NA,102
"2014","1","Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA
"2014","1","District of Columbia","Washington ","WAS",1453,1334,174,4487,43,55,14,192
"2014","1","Florida","Hialeah","HIA",604,348,32,1754,14,26,NA,79
"2014","1","Florida","Jacksonville","JAC",404,304,56,999,NA,NA,NA,35
"2014","1","Florida","Kendall","KND",572,508,43,1832,10,17,NA,98
"2014","1","Florida","Miami ","MIA",932,650,89,3686,28,25,16,201
"2014","1","Florida","Oakland Park","OKL",1293,1125,63,3638,23,50,NA,158
"2014","1","Florida","Orlando ","ORL",919,570,94,3330,15,NA,NA,92
"2014","1","Florida","Tampa ","TAM",904,589,82,2950,15,NA,NA,123
"2014","1","Florida","West Palm Beach","WPB",681,482,80,1898,17,14,NA,244
"2014","1","Georgia","Atlanta ","ATL",1967,2444,100,7331,57,58,NA,290
"2014","1","Hawaii","Honolulu ","HHW",336,288,29,667,NA,NA,NA,30
"2014","1","Idaho","Boise ","BOI",98,216,NA,329,NA,11,NA,10
"2014","1","Illinois","Chicago ","CHI",2885,1318,137,9355,55,NA,NA,512
"2014","1","Indiana","Indianapolis ","INP",398,413,38,1148,NA,NA,NA,49
"2014","1","Iowa","Des Moines","DSM",149,262,16,457,NA,NA,NA,20
"2014","1","Kansas","Wichita","WIC",142,115,NA,430,NA,NA,NA,15
"2014","1","Kentucky","Louisville ","LOU",258,150,16,703,11,NA,NA,29
"2014","1","Louisiana","New Orleans ","NOL",430,304,42,1491,12,NA,NA,77
"2014","1","Maine","Portland ","POM",78,62,11,179,NA,NA,NA,NA
"2014","1","Maryland","Baltimore ","BAL",1446,1327,95,4436,39,24,NA,132
"2014","1","Massachusetts","Boston ","BOS",1506,1186,105,4176,22,24,NA,80
"2014","1","Massachusetts","Lawrence","LAW",577,343,29,1670,13,NA,NA,54
"2014","1","Michigan","Detroit ","DET",889,836,57,2847,15,NA,NA,293
"2014","1","Minnesota","St. Paul ","SPM",834,931,72,2629,19,NA,NA,86
"2014","1","Missouri","Kansas City ","KAN",344,588,47,1103,11,NA,NA,47
"2014","1","Missouri","St. Louis ","STL",205,309,18,682,NA,NA,NA,35
"2014","1","Montana","Helena ","HEL",39,449,NA,117,NA,NA,NA,NA
"2014","1","Nebraska","Omaha ","OMA",227,419,27,700,NA,12,NA,50
"2014","1","Nevada","Las Vegas ","LVG",716,601,47,1555,11,14,NA,70
"2014","1","Nevada","Reno ","REN",106,173,11,367,NA,NA,NA,NA
"2014","1","New Hampshire","Manchester ","MAN",135,120,NA,315,NA,NA,NA,NA
"2014","1","New Jersey","Mount Laurel","MTL",580,789,80,1645,19,NA,NA,110
"2014","1","New Jersey","Newark ","NEW",2812,1811,192,8120,57,26,NA,477
"2014","1","New Mexico","Albuquerque ","ABQ",183,144,12,498,NA,NA,NA,19
"2014","1","New York","Albany ","ALB",159,106,NA,456,NA,NA,NA,12
"2014","1","New York","Buffalo ","BUF",260,314,41,742,NA,13,NA,40
"2014","1","New York","Long Island","LNY",1781,1344,34,5328,37,11,NA,377
"2014","1","New York","New York ","NYC",5334,4717,500,17713,108,51,NA,1194
"2014","1","New York","Queens","QNS",1908,1772,55,5746,44,NA,NA,433
"2014","1","North Carolina","Charlotte ","CLT",548,391,22,1428,NA,19,NA,31
"2014","1","North Carolina","Raleigh","RAL",514,446,30,1554,NA,NA,NA,41
"2014","1","Ohio","Cincinnati ","CIN",184,196,16,595,NA,NA,NA,22
"2014","1","Ohio","Cleveland ","CLE",272,226,18,746,NA,NA,NA,21
"2014","1","Ohio","Columbus","CLM",295,365,48,820,NA,NA,NA,26
"2014","1","Oklahoma","Oklahoma City ","OKC",364,220,20,1179,13,NA,NA,78
"2014","1","Oregon","Portland ","POO",506,326,18,1374,23,13,NA,69
"2014","1","Pennsylvania","Philadelphia","PHI",1404,1139,116,4198,22,32,NA,137
"2014","1","Pennsylvania","Pittsburgh ","PIT",252,138,17,558,NA,NA,NA,21
"2014","1","Rhode Island","Providence ","PRO",243,229,21,614,NA,NA,NA,21
"2014","1","South Carolina","Charleston ","CHL",319,319,26,1038,NA,NA,NA,43
"2014","1","Tennessee","Memphis ","MEM",600,503,42,1739,14,NA,NA,73
"2014","1","Texas","Dallas ","DAL",2113,1228,165,7520,54,24,NA,393
"2014","1","Texas","El Paso ","ELP",641,972,39,1643,10,NA,NA,48
"2014","1","Texas","Harlingen ","HLG",712,1204,43,1402,20,31,NA,54
"2014","1","Texas","Houston ","HOU",2568,1913,140,6480,82,21,NA,524
"2014","1","Texas","San Antonio ","SNA",1314,1046,28,3330,49,13,NA,217
"2014","1","Utah","Salt Lake City ","SLC",472,375,26,1443,NA,NA,NA,46
"2014","1","Vermont","St. Albans ","STA",34,211,NA,118,NA,NA,NA,NA
"2014","1","Virginia","Norfolk ","NOR",431,351,40,1042,NA,NA,NA,59
"2014","1","Washington","Seattle ","SEA",1060,680,56,2668,29,50,NA,109
"2014","1","Washington","Spokane ","SPO",59,67,NA,123,NA,NA,NA,NA
"2014","1","Washington","Yakima","YAK",125,227,NA,335,NA,NA,NA,NA
"2014","1","Wisconsin","Milwaukee ","MIL",385,265,22,964,NA,NA,NA,35
"2014","1","Service Center","California","WSC",224,25046,2355,22200,49814,47365,4629,357263
"2014","1","Service Center","Nebraska","NSC",41348,16821,68,98851,1542,14716,152,8169
"2014","1","Service Center","Texas","SSC",8387,11933,60,36932,261,1198,339,1696
"2014","1","Service Center","Vermont","ESC",8729,1300,1321,20183,18498,15691,3090,141795
"2014","2","Alaska","Anchorage ","ANC",73,113,12,154,NA,NA,NA,NA
"2014","2","Arizona","Phoenix ","PHO",733,858,42,1425,NA,30,NA,81
"2014","2","Arizona","Tucson","TUC",257,299,12,495,NA,NA,NA,NA
"2014","2","Arkansas","Fort Smith ","FSA",52,92,NA,106,NA,NA,NA,NA
"2014","2","California","Chula Vista","CVC",449,464,43,713,NA,44,NA,19
"2014","2","California","Fresno ","FRE",333,492,14,593,NA,26,NA,22
"2014","2","California","Imperial","IMP",77,243,NA,153,NA,13,NA,NA
"2014","2","California","Los Angeles ","LOS",1464,1898,122,2697,NA,63,NA,115
"2014","2","California","Los Angeles County ","LAC",1342,1182,174,2917,NA,49,21,77
"2014","2","California","Sacramento ","SAC",439,498,50,779,NA,13,NA,NA
"2014","2","California","San Bernardino","SBD",965,1086,112,2075,NA,56,13,64
