,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,
Total,," 131,962 "," 73,718 "," 8,630 "," 352,855 "," 85,713 "," 87,977 "," 4,195 "," 533,080 "," 217,675 "," 161,695 "," 12,825 "," 885,935 ",
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,Anchorage , 191 , 92 , D , 439 , D , -   , -   , D , 194 , 92 , D , 445 ,
Arizona,,,,,,,,,,,,,,
 ,Phoenix ," 2,138 "," 1,171 ", 53 ," 5,792 ", 79 , 30 , -   , 206 ," 2,217 "," 1,201 ", 53 ," 5,998 ",
,Tucson, 572 , 434 , 24 ," 1,521 ", 16 , 22 , D , 68 , 588 , 456 , 25 ," 1,589 ",
Arkansas,,,,,,,,,,,,,,
,Fort Smith , 249 , 150 , 11 , 642 , 11 , D , -   , 17 , 260 , 152 , 11 , 659 ,
California,,,,,,,,,,,,,,
,Chula Vista," 1,293 ", 510 , 34 , 383 , 75 , D , D , 121 ," 1,368 ", 518 , 36 , 504 ,
,Fresno ," 1,714 ", 429 , 36 , 497 , 50 , 15 , 13 , 127 ," 1,764 ", 444 , 49 , 624 ,
,Imperial, 297 , 114 , -   , 802 , 28 , -   , -   , 53 , 325 , 114 , -   , 855 ,
,Los Angeles ," 3,466 "," 1,739 ", 113 ," 8,085 ", 178 , 42 , D , 281 ," 3,644 "," 1,781 ", 120 ," 8,366 ",
,Los Angeles County ," 3,895 "," 1,581 ", 156 ," 10,865 ", 271 , 15 , 22 , 508 ," 4,166 "," 1,596 ", 178 ," 11,373 ",
,Sacramento ," 1,863 ", 711 , 70 ," 4,993 ", 63 , D , D , 152 ," 1,926 ", 719 , 73 ," 5,145 ",
,San Bernardino," 2,919 "," 1,358 ", 65 ," 7,559 ", 148 , 23 , D , 255 ," 3,067 "," 1,381 ", 72 ," 7,814 ",
,San Diego ," 1,045 ", 353 , 39 ," 2,353 ", 66 , 18 , D , 117 ," 1,111 ", 371 , 45 ," 2,470 ",
,San Fernando Valley," 2,437 "," 1,161 ", 118 ," 6,692 ", 99 , 22 , 15 , 272 ," 2,536 "," 1,183 ", 133 ," 6,964 ",
,San Francisco," 3,722 "," 1,765 ", 115 ," 9,124 ", 245 , 20 , D , 514 ," 3,967 "," 1,785 ", 123 ," 9,638 ",
,San Jose ," 2,342 "," 1,108 ", 43 ," 5,546 ", 215 , 20 , D , 308 ," 2,557 "," 1,128 ", 51 ," 5,854 ",
,Santa Ana," 2,465 ", 866 , 71 ," 6,299 ", 181 , 15 , D , 351 ," 2,646 ", 881 , 76 ," 6,650 ",
Colorado,,,,,,,,,,,,,,
,Denver ," 1,650 ", 797 , 80 ," 4,487 ", 65 , D , -   , 141 ," 1,715 ", 801 , 80 ," 4,628 ",
Connecticut,,,,,,,,,,,,,,
,Hartford ," 1,543 ", 532 , 44 ," 4,198 ", 88 , D , -   , 195 ," 1,631 ", 535 , 44 ," 4,393 ",
District of Columbia,,,,,,,,,,,,,,
,Washington ," 2,830 "," 2,150 ", 191 ," 7,673 ", 213 , 56 , D , 317 ," 3,043 "," 2,206 ", 195 ," 7,990 ",
