"U.S. Citizenship and Immigration Services
Field Offices Alien Relative Petitions (Form I-130) Receipts, Completions, and Pending
Fiscal Year 2011 - Fiscal Year 2013 (December 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , TOTAL , TOTAL , TOTAL , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
,,, First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL , First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
Fiscal Year,Office,Description, Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Completions , Pending 
2011,ABQ,ALBUQUERQUE NM ,171,123,6,122,143,4,165,183,6,137,158,5,595,628,165,1,56,27, - ,6,2, - ,2, - ,1,4, - ,2,97,2,597,725,167
2011,AGA,AGANA GUAM ,135,149,3,100,147,4,161,95,1,161,105,8,557,512,238, - ,11, - ,3,5,5,1, - , - ,1,8, - ,5,29,1,562,541,239
2011,ALB,ALBANY NY ,129,119,6,91,136,6,118,143,12,123,106,15,461,543,210, - ,37,4, - ,4,3, - ,7,1, - , - ,2, - ,58,23,461,601,233
2011,ANC,ANCHORAGE AK ,77,67,3,57,81,3,63,69,7,56,68,2,253,300,109, - ,16,16, - ,6,4, - ,2, - , - ,2,1, - ,47,2,253,347,111
2011,ATL,ATLANTA GA ,"1,679","1,220",84,"1,371",884,137,"1,932","1,877",159,"1,953","2,633",343,"6,935","7,337","3,743",7,161,68,3,211,126,4,10,9,7,26,23,21,634,10,"6,956","7,971","3,753"
2011,BAL,BALTIMORE MD ,"1,081",635,116,902,"1,181",112,"1,144","1,253",186,"1,085","1,302",188,"4,212","4,973","2,550",1,352,89,2,106,141, - ,34,4, - ,11, - ,3,737,67,"4,215","5,710","2,617"
2011,BOI,BOISE ID ,90,82,10,50,108,11,84,84,10,75,81,14,299,400,100, - ,144,67, - ,14,7, - ,2,1, - ,1, - , - ,236, - ,299,636,100
2011,BOS,BOSTON MA ,"1,285",948,86,952,966,45,"1,228","1,342",149,"1,182","1,438",248,"4,647","5,222","1,779",2,48, - ,1,36, - , - ,10,2, - ,97,37,3,230,176,"4,650","5,452","1,955"
2011,BUF,BUFFALO NY ,158,154,22,130,156,11,174,204,20,174,167,8,636,742,390, - ,62,14, - ,40,5, - ,25,10,3,9,6,3,171,53,639,913,443
2011,CHA,CHARLOTTE AMALIE ,14,21,5,13,13,9,18,23,8,18,13,8,63,100,30, - ,23, - ,1,1,3, - ,4,1, - ,5,5,1,42,6,64,142,36
2011,CHI,CHICAGO IL ,"2,271","1,763",204,"1,618","1,990",159,"2,248","1,971",186,"2,231","2,212",287,"8,368","8,772","3,190",7,174,100,3,14,10,1,6,4,6,15, - ,17,323,304,"8,385","9,095","3,494"
2011,CHL,CHARLESTON SC ,263,147,25,210,307,34,299,239,25,270,319,54,"1,042","1,150",522, - ,22,32,1,11,3, - ,3,2,1,1,1,2,75,13,"1,044","1,225",535
2011,CHR,CHRISTIANSTED VI ,18,12, - ,9,15,3,9,7,4,10,12,5,46,58,12, - ,35,1, - ,2, - , - ,1, - , - , - ,2, - ,41,11,46,99,23
2011,CHS,CHARLESTON WV,2, - , - ,2, - , - ,1, - , - ,2, - , - ,7, - ,1, - ,96,19, - ,7,9, - , - , - , - , - , - , - ,131, - ,7,131,1
