"U.S. Citizenship and Immigration Services
Districts* Alien Relative Petitions (Form I-130) Receipts, Completions, and Pending
Fiscal Year 2011 - Fiscal Year 2013 (March 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE ,Total Imm Rel Petitions ,Total Imm Rel Petitions ,Total Imm Rel Petitions , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
,,, First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter ,Total Imm Rel Petitions ,Total Imm Rel Petitions ,Total Imm Rel Petitions , First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
Fiscal Year,District*,Description, Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Completions , Pending 
2013,ANC, ANCHORAGE AK ,0,162,4,0,272,11,,,,,,,0,449,592,0,2,0,0,4,0,,,,,,,0,6,4,0,455,596
,ATL, ATLANTA GA ,0,"2,266",204,0,"3,777",275,,,,,,,0,"6,522","31,581",0,29,6,0,43,2,,,,,,,0,80,"1,092",0,"6,602","32,673"
,BAL, BALTIMORE MD ,0,964,166,0,"2,449",99,,,,,,,0,"3,678","16,460",0,18,2,0,44,7,,,,,,,0,71,468,0,"3,749","16,928"
,BOS, BOSTON MA ,0,"2,139",147,0,"4,135",225,,,,,,,0,"6,646","25,273",0,36,5,0,67,9,,,,,,,0,117,749,0,"6,763","26,022"
,BUF, BUFFALO NY ,0,510,12,0,584,12,,,,,,,0,"1,118","3,663",0,3,2,0,0,0,,,,,,,0,5,161,0,"1,123","3,824"
,CHI, CHICAGO IL ,0,"3,073",166,0,"3,947",207,,,,,,,0,"7,393","25,279",0,39,3,0,54,2,,,,,,,0,98,975,0,"7,491","26,254"
,CLE, CLEVELAND OH ,0,"1,098",75,0,"1,996",139,,,,,,,0,"3,308","4,254",0,24,2,0,18,1,,,,,,,0,45,219,0,"3,353","4,473"
