"U.S. Citizenship and Immigration Services
Districts* Alien Relative Petitions (Form I-130) Receipts, Approvals, Denials and Pending
Fiscal Year 2013: October 2012 - June 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-130 IMMEDIATE RELATIVE ,,,,,,,,,,,, TOTAL ,,, I-130 ALL OTHER RELATIVE ,,,,,,,,,,,, TOTAL ,,,Total Alien Relative Petitions,,,
,,, First Quarter ,,, Second Quarter ,,, Third Quarter ,,, Fourth Quarter ,,,,,, First Quarter ,,, Second Quarter ,,, Third Quarter ,,, Fourth Quarter ,,,,,,,,,
Fiscal Year,District*,Description, Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions¹ , Pending , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions¹ , Pending , Receipts , Completions¹ , Pending ,
2013,ANC, ANCHORAGE AK ,0,162,4,0,272,11,0,94,8,,,,0,551,825,0,2,0,0,4,0,0,0,0,,,,0,6,4,0,557,829,
,ATL, ATLANTA GA ,0,"2,266",204,0,"3,777",275,0,"4,075",299,,,,0,"10,896","47,597",0,29,6,0,43,2,0,50,10,,,,0,140,"1,822",0,"11,036","49,419",
,BAL, BALTIMORE MD ,0,964,166,0,"2,449",99,1,"2,244",161,,,,1,"6,083","23,334",0,18,2,0,44,7,0,70,0,,,,0,141,617,1,"6,224","23,951",
,BOS, BOSTON MA ,0,"2,139",147,0,"4,135",225,0,"3,340",256,,,,0,"10,242","34,202",0,36,5,0,67,9,0,73,7,,,,0,197,904,0,"10,439","35,106",
,BUF, BUFFALO NY ,0,510,12,0,584,12,0,635,25,,,,0,"1,778","5,550",0,3,2,0,0,0,0,8,1,,,,0,14,253,0,"1,792","5,803",
,CHI, CHICAGO IL ,0,"3,073",166,0,"3,947",207,0,"3,935",231,,,,0,"11,559","35,840",0,39,3,0,54,2,0,7,0,,,,0,105,"1,470",0,"11,664","37,310",
,CLE, CLEVELAND OH ,0,"1,098",75,0,"1,996",139,0,"1,073",141,,,,0,"4,522","5,366",0,24,2,0,18,1,0,14,1,,,,0,60,254,0,"4,582","5,620",
,CSC, CALIFORNIA SERVICE CENTER ,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,
,DAL, DALLAS TX ,1,"2,314",135,0,"4,099",125,0,"2,436",149,,,,1,"9,258","32,094",0,10,3,0,21,0,0,19,0,,,,0,53,"1,162",1,"9,311","33,256",
,DEN, DENVER CO ,0,913,62,0,"1,418",89,0,"1,564",97,,,,0,"4,143","13,396",0,5,5,0,41,1,0,8,0,,,,0,60,559,0,"4,203","13,955",
,DET, DETROIT MI ,0,"1,173",48,0,"1,684",58,0,"1,211",102,,,,0,"4,276","15,069",0,14,4,0,17,0,0,9,2,,,,0,46,"1,861",0,"4,322","16,930",
,ELP, EL PASO TX ,3,982,44,8,"1,451",39,3,962,119,,,,14,"3,597","4,585",2,5,0,3,0,0,0,2,0,,,,5,7,226,19,"3,604","4,811",
,HEL, HELENA MT ,0,335,8,0,"1,272",26,0,"1,187",58,,,,0,"2,886","2,307",0,3,1,0,18,3,0,30,1,,,,0,56,51,0,"2,942","2,358",
,HHW, HONOLULU HI ,5,500,42,0,548,23,0,426,19,,,,5,"1,558","6,662",0,5,1,0,8,0,0,6,1,,,,0,21,181,5,"1,579","6,843",
,HLG, HARLINGEN TX ,0,545,37,0,"1,012",80,0,740,78,,,,0,"2,492","6,597",0,9,2,0,12,5,0,2,1,,,,0,31,173,0,"2,523","6,770",
