"Number of I-130 Alien Relative Petitions by Category of Relatives, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"April 1- June 30, 2014",,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status
,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"144,077","150,412","11,845","298,216","70,632","59,547","7,501","532,679","214,709","209,959","19,346","830,895"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,Anchorage ,58,110, D ,105, -   , D , -   , D ,58,112, D ,107
Arizona,,,,,,,,,,,,,
 ,Phoenix ,894,782,42,"1,602", -   ,25, D ,105,894,807,44,"1,707"
,Tucson,348,280,14,575, -   , D , -   , D ,348,284,14,579
Arkansas,,,,,,,,,,,,,
,Fort Smith ,90,74, D ,119, -   , D , -   , D ,90,77, D ,120
California,,,,,,,,,,,,,
,Chula Vista,521,422,26,754, D , D , -   , D ,522,428,26,761
,Fresno ,432,362,13,783, D ,22, D ,29,433,384,17,812
,Imperial,97,125,13,171, -   , D , -   ,10,97,126,13,181
,Los Angeles ,"1,700","1,658",97,"2,949", -   , D , D ,134,"1,700","1,666",100,"3,083"
,Los Angeles County ,"1,698","1,102",114,"3,645", D ,17, D ,66,"1,699","1,119",117,"3,711"
,Sacramento ,498,478,50,923, -   , D , D , D ,498,486,56,927
,San Bernardino,"1,237","1,028",43,"2,466", D ,24, D ,10,"1,239","1,052",51,"2,476"
,San Diego ,407,384,30,701, -   ,16, -   ,24,407,400,30,725
,San Fernando Valley,997,"1,016",72,"1,995", D ,11, -   ,36,998,"1,027",72,"2,031"
,San Francisco,"1,507","1,494",71,"2,646", D ,50, D ,69,"1,508","1,544",75,"2,715"
,San Jose ,959,940,27,"1,520", D ,24, D , D ,961,964,31,"1,522"
,Santa Ana,966,"1,045",56,"2,401", -   ,11, D , D ,966,"1,056",60,"2,410"
Colorado,,,,,,,,,,,,,
,Denver ,698,386,77,"2,104", -   ,26, D , D ,698,412,79,"2,109"
Connecticut,,,,,,,,,,,,,
,Hartford ,567,503,59,"1,624", -   , -   , -   , D ,567,503,59,"1,626"
District of Columbia,,,,,,,,,,,,,
,Washington ,"1,001",843,128,"2,203", -   ,11, D ,35,"1,001",854,135,"2,238"
Florida,,,,,,,,,,,,,
,Hialeah,481,436,40,929, D ,17, D ,30,482,453,44,959
