"Number of I-130 Alien Relative Petitions by Category of Relatives, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"October 1- December 31, 2013",,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
USCIS Field Office or Service Center Location,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"125,965","111,057","8,295","377,563","71,650","80,195","8,415","519,250","197,615","191,252","16,710","896,813"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,Anchorage ,105,83,18,237, D , D , D , D ,107,84,20,239
Arizona,,,,,,,,,,,,,
 ,Phoenix ,"1,002",871,48,"2,872",15,14, -   ,136,"1,017",885,48,"3,008"
,Tucson,327,304, D ,878, D , D , D ,54,331,312, D ,932
Arkansas,,,,,,,,,,,,,
,Fort Smith ,107,82, D ,334, D , D , -   ,14,109,87, D ,348
California,,,,,,,,,,,,,
,Chula Vista,674,367,27,"1,860",22,13, -   ,90,696,380,27,"1,950"
,Fresno ,709,445,17,"2,115", D ,31, D ,57,716,476,23,"2,172"
,Imperial,141,189, -   ,372,14, D , -   ,42,155,194, -   ,414
,Los Angeles ,"1,815","1,712",76,"4,565",52,63, D ,251,"1,867","1,775",77,"4,816"
,Los Angeles County ,"1,921","1,473",207,"5,884",40,31,26,369,"1,961","1,504",233,"6,253"
,Sacramento ,761,620,60,"2,180",15, D , D ,78,776,628,65,"2,258"
,San Bernardino,"1,458","1,133",96,"3,967",25,27,15,169,"1,483","1,160",111,"4,136"
,San Diego ,526,296,20,"1,408",28, D , D ,88,554,301,21,"1,496"
,San Fernando Valley,"1,267","1,012",62,"3,465",17,10, D ,195,"1,284","1,022",68,"3,660"
,San Francisco,"1,897","1,484",69,"4,821",39,93, D ,262,"1,936","1,577",74,"5,083"
,San Jose ,"1,189",775,27,"3,225",47,82, D ,138,"1,236",857,29,"3,363"
,Santa Ana,"1,310",915,51,"3,942",40,24, -   ,278,"1,350",939,51,"4,220"
Colorado,,,,,,,,,,,,,
,Denver ,910,452,88,"2,744",15, D , D ,89,925,453,89,"2,833"
Connecticut,,,,,,,,,,,,,
,Hartford ,820,501,49,"2,558",14, D , D ,102,834,507,50,"2,660"
District of Columbia,,,,,,,,,,,,,
,Washington ,"1,453","1,334",174,"4,487",43,55,14,192,"1,496","1,389",188,"4,679"
Florida,,,,,,,,,,,,,
,Hialeah,604,348,32,"1,754",14,26, D ,79,618,374,35,"1,833"
,Jacksonville,404,304,56,999, D , D , D ,35,410,313,57,"1,034"
,Kendall,572,508,43,"1,832",10,17, D ,98,582,525,48,"1,930"
,Miami ,932,650,89,"3,686",28,25,16,201,960,675,105,"3,887"
,Oakland Park,"1,293","1,125",63,"3,638",23,50, D ,158,"1,316","1,175",71,"3,796"
,Orlando ,919,570,94,"3,330",15, D , D ,92,934,575,95,"3,422"
,Tampa ,904,589,82,"2,950",15, -   , -   ,123,919,589,82,"3,073"
,West Palm Beach,681,482,80,"1,898",17,14, D ,244,698,496,81,"2,142"
Georgia,,,,,,,,,,,,,
,Atlanta ,"1,967","2,444",100,"7,331",57,58, D ,290,"2,024","2,502",102,"7,621"
Hawaii,,,,,,,,,,,,,
,Honolulu ,336,288,29,667, D , D , D ,30,342,295,31,697
Idaho,,,,,,,,,,,,,
,Boise ,98,216, D ,329, D ,11, D ,10,99,227,10,339
Illinois,,,,,,,,,,,,,
,Chicago ,"2,885","1,318",137,"9,355",55, D , -   ,512,"2,940","1,321",137,"9,867"
Indiana,,,,,,,,,,,,,
,Indianapolis ,398,413,38,"1,148", D , D , D ,49,405,417,39,"1,197"
Iowa,,,,,,,,,,,,,
,Des Moines,149,262,16,457, D , D , D ,20,151,264,17,477
