"Number of I-130 Alien Relative Petitions by Category of Relatives, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"January 1- March 31, 2014",,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status
,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"126,952","187,415","10,959","313,111","62,442","51,345","8,547","526,906","189,394","238,760","19,506","840,017"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,Anchorage ,73,113,12,154, D , D , -   , D ,74,114,12,156
Arizona,,,,,,,,,,,,,
 ,Phoenix ,733,858,42,"1,425", D ,30, -   ,81,734,888,42,"1,506"
,Tucson,257,299,12,495, D , D , -   , D ,258,305,,
Arkansas,,,,,,,,,,,,,
,Fort Smith ,52,92, D ,106, -   , D , D , D ,52,98, D ,108
California,,,,,,,,,,,,,
,Chula Vista,449,464,43,713, D ,44, -   ,19,453,508,43,732
,Fresno ,333,492,14,593, D ,26, D ,22,335,518,16,615
,Imperial,77,243, -   ,153, -   ,13, -   , D ,77,256, -   ,155
,Los Angeles ,"1,464","1,898",122,"2,697", D ,63, D ,115,"1,465","1,961",126,"2,812"
,Los Angeles County ,"1,342","1,182",174,"2,917", -   ,49,21,77,"1,342","1,231",195,"2,994"
,Sacramento ,439,498,50,779, -   ,13, D , D ,439,511,52,785
,San Bernardino,965,"1,086",112,"2,075", D ,56,13,64,966,"1,142",125,"2,139"
,San Diego ,409,554,38,615, D , D , D ,47,414,563,40,662
,San Fernando Valley,840,923,69,"1,924", D ,18, D ,19,841,941,74,"1,943"
,San Francisco,"1,261","1,639",101,"2,472", D ,103, D ,96,"1,262","1,742",108,"2,568"
,San Jose ,826,"1,017",31,"1,525", D ,82, -   ,22,827,"1,099",31,"1,547"
,Santa Ana,918,999,69,"2,309", D ,61, D ,14,920,"1,060",72,"2,323"
Colorado,,,,,,,,,,,,,
,Denver ,590,484,74,"1,689", D ,27, D ,19,591,511,75,"1,708"
Connecticut,,,,,,,,,,,,,
,Hartford ,527,402,92,"1,477", D ,12, D ,32,528,414,94,"1,509"
District of Columbia,,,,,,,,,,,,,
,Washington ,890,"1,227",145,"1,689", -   ,58, D ,26,890,"1,285",151,"1,715"
Florida,,,,,,,,,,,,,
,Hialeah,405,541,36,831, -   ,24, D ,22,405,565,37,853
