USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"124,999","119,091","9,819","280,842","56,770","69,319","10,621","503,481","181,769","188,410","20,440","784,323"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,
,Anchorage ,77,96, D ,122, -   , -   , -   , D ,77,96, D ,125
Arizona,,,,,,,,,,,,,
 ,Phoenix ,698,519,31,"2,007", D , D , D ,44,699,528,33,"2,051"
,Tucson,262,191, D ,592, D , D , -   , D ,264,194, D ,598
Arkansas,,,,,,,,,,,,,
,Fort Smith ,79,59, D ,216, -   , D , -   , D ,79,62, D ,219
California,,,,,,,,,,,,,
,Chula Vista,519,335,20,"1,056", D , D , D ,11,520,338,21,"1,067"
,Fresno ,394,346,19,"1,033", -   , D , D ,24,394,355,27,"1,057"
,Imperial,73,113, D ,162, -   , D , D , D ,73,116, D ,166
,Los Angeles ,"1,518","1,249",104,"3,757", -   ,15, D ,84,"1,518","1,264",107,"3,841"
,Los Angeles County ,"1,476","1,286",97,"4,178", D ,12, D ,58,"1,478","1,298",100,"4,236"
,Sacramento ,555,411,36,"1,274", D ,13, -   , D ,556,424,36,"1,280"
,San Bernardino,"1,118",678,88,"3,513", D , D , D ,45,"1,119",682,90,"3,558"
,San Diego ,444,407,32,948, -   , D , D ,28,444,408,36,976
,San Fernando Valley,842,890,72,"2,526", -   , D , D ,84,842,899,74,"2,610"
,San Francisco,"1,376","1,196",64,"3,041", D ,24, D ,81,"1,377","1,220",69,"3,122"
,San Jose ,878,626,132,"1,860", -   , D , D ,11,878,631,134,"1,871"
,Santa Ana,939,595,38,"2,472", D , D , -   ,11,940,599,38,"2,483"
Colorado,,,,,,,,,,,,,
,Denver ,713,595,73,"2,603", -   , D , D ,23,713,602,75,"2,626"
Connecticut,,,,,,,,,,,,,
,Hartford ,606,383,30,"1,855", -   , D , D , D ,606,387,32,"1,862"
,Delaware,,,,,,,,,,,,
,Dover, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,,,,,,,,,,,,
,Washington ,"1,060",982,94,"2,260", -   ,17, -   ,228,"1,060",999,94,"2,488"
Florida,,,,,,,,,,,,,
,Hialeah,492,252,39,"1,252", D , D , -   ,19,497,257,39,"1,271"
,Jacksonville,300,207,26,851, -   , D , -   , D ,300,210,26,860
,Kendall,426,378,53,"1,069", D ,11, D ,24,430,389,57,"1,093"
,Miami ,856,733,94,"2,819", D ,10, D ,66,858,743,101,"2,885"
,Oakland Park,"1,039",772,86,"2,507", D ,12,12,67,"1,041",784,98,"2,574"
,Orlando ,764,469,74,"2,352", D , D , -   ,60,766,471,74,"2,412"
,TAM,717,620,70,"2,132", D ,21, D ,39,721,641,74,"2,171"
,West Palm Beach,516,435,66,"1,355", D ,20, D ,20,520,455,71,"1,375"
Georgia,,,,,,,,,,,,,
,Atlanta ,"1,591","1,243",137,"4,081", D ,28, D ,99,"1,595","1,271",139,"4,180"
Hawaii,,,,,,,,,,,,,
,Honolulu ,249,222,29,673, -   , D , -   , D ,249,224,29,681
