USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"128,127","122,327","8,900","276,935","55,074","74,249","13,569","475,552","183,201","196,576","22,469","752,487"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,Anchorage ,ANC,62,89,11,121, -   , -   , -   , D ,62,89,11,123
Arizona,,,,,,,,,,,,,,
 ,Phoenix ,PHO,762,559,25,"2,176", D , D , D ,48,764,563,26,"2,224"
,Tucson,TUC,302,233,18,608, D , D , -   , D ,303,235,18,614
Arkansas,,,,,,,,,,,,,,
,Fort Smith ,FSA,64,81, D ,221, -   , D , -   , D ,64,84, D ,227
California,,,,,,,,,,,,,,
,Chula Vista,CVC,473,484,31,"1,051", D , D , D ,10,475,487,32,"1,061"
,Fresno ,FRE,420,360,45,"1,096", -   , D , D ,32,420,364,47,"1,128"
,Imperial,IMP,100,133, D ,181, -   , D , -   , D ,100,134, D ,184
,Los Angeles ,LOS,"1,435","1,487",109,"3,925", D , -   , D ,103,"1,436","1,487",111,"4,028"
,Los Angeles County ,LAC,"1,371","1,303",96,"4,009", D ,12, D ,47,"1,372","1,315",99,"4,056"
,Sacramento ,SAC,511,628,45,"1,372", -   , D , D , D ,511,637,46,"1,377"
,San Bernardino,SBD,"1,134",907,61,"3,700", D , D , D ,52,"1,136",910,65,"3,752"
,San Diego ,SND,428,336,22,"1,019", D , D , -   ,22,431,344,22,"1,041"
,San Fernando Valley,SFV,915,"1,111",101,"2,383", -   ,15, D ,98,915,"1,126",109,"2,481"
,San Francisco,SFR,"1,347","1,241",52,"3,301", D ,17,11,100,"1,348","1,258",63,"3,401"
,San Jose ,SNJ,876,844,38,"1,798", D , D , D , D ,878,853,46,"1,802"
,Santa Ana,SAA,961,401,31,"2,900", D , D , -   ,10,962,406,31,"2,910"
Colorado,,,,,,,,,,,,,,
,Denver ,DEN,719,588,59,"2,697", -   ,10, D , D ,719,598,62,"2,706"
Connecticut,,,,,,,,,,,,,,
,Hartford ,HAR,512,420,55,"1,901", -   , D , D , D ,512,425,56,"1,903"
,Delaware,,,,,,,,,,,,,
,Dover,DVD, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
District of Columbia,,,,,,,,,,,,,,
,Washington ,WAS,869,"1,092",61,"2,141", D ,16, D ,212,870,"1,108",64,"2,353"
Florida,,,,,,,,,,,,,,
,Hialeah,HIA,497,407,34,"1,539", D , D , D ,17,500,412,36,"1,556"
,Jacksonville,JAC,314,359,29,833, -   , D , -   , D ,314,360,29,839
,Kendall,KND,438,535,41,933, D , D , D ,19,441,542,46,952
,Miami ,MIA,892,"1,155",106,"2,466", D ,19, D ,58,897,"1,174",109,"2,524"
,Oakland Park,OKL,"1,154","1,020",105,"2,563", D ,10, D ,69,"1,156","1,030",112,"2,632"
,Orlando ,ORL,754,903,125,"2,075", D ,10, D ,65,756,913,129,"2,140"
,TAM,TAM,706,692,51,"2,180", D , D , D ,61,708,699,53,"2,241"
,West Palm Beach,WPB,600,504,70,"1,451", D ,14, D , D ,601,518,79,"1,459"
