USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"142,702","142,278","9,511","292,841","65,302","37,036","5,383","537,609","208,004","179,314","14,894","830,450"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,
,Anchorage ,ANC,60,43, D ,177, -   , D , -   , -   ,60,44, D ,177
Arizona,,, , , , , , , , ,,,,
 ,Phoenix ,PHO,841,"1,269",129,"1,562", D ,28, D ,27,845,"1,297",134,"1,589"
,Tucson,TUC,312,460, D ,604, -   , D , -   ,11,312,463, D ,615
Arkansas,,, , , , , , , , ,,,,
,Fort Smith ,FSA,94,171, D , om , -   , D , -   , -   ,94,172, D ,199
California,,, , , , , , , , ,,,,
,Chula Vista,CVC,327,198,12, -   , -   , D , D , -   ,327,202,14, -   
,Fresno ,FRE,444,414,36,916, D , D , D ,48,446,416,42,964
,Imperial,IMP,94,192, D ,163, -   , -   , D , -   ,94,192,10,163
,Los Angeles ,LOS,"1,406","1,425",164,"2,743", D ,27, D ,36,"1,407","1,452",172,"2,779"
,Los Angeles County ,LAC,"1,453","1,302",93,"3,291", D , D , D ,85,"1,454","1,310",96,"3,376"
,Sacramento ,SAC,628,651,47,"1,976", -   , D , -   , D ,628,654,47,"1,977"
,San Bernardino,SBD,"1,265","1,082",93,"1,845", D , D , D ,47,"1,266","1,084",94,"1,892"
,San Diego ,SND,705,203,18,"2,762", -   , D , D , D ,705,210,22,"2,766"
,San Fernando Valley,SFV,942,"1,063",82,"2,179", -   ,10, D ,58,942,"1,073",84,"2,237"
,San Francisco,SFR,"1,514","1,287",54,"3,765", D ,13, D ,50,"1,516","1,300",57,"3,815"
,San Jose ,SNJ,756,943,35,"1,538", D ,12, D ,37,758,955,36,"1,575"
,Santa Ana,SAA,"1,117",916,94,"2,786", -   ,32, D , D ,"1,117",948,102,"2,788"
Colorado,,, , , , , , , , ,,,,
,Denver ,DEN,845,475,50,"3,183", D ,18, D ,40,846,493,52,"3,223"
Connecticut,,, , , , , , , , ,,,,
,Hartford ,HAR,636,603,126,"1,817", -   , -   , -   ,102,636,603,126,"1,919"
   Delaware,,, , , , , , , , ,,,,
,Dover,DVD, -   ,101, -   ,14, -   , -   , -   , -   , -   ,101, -   ,14
District of Columbia,,, , , , , , , , ,,,,
,Washington ,WAS,960,"1,083",82,"3,099", -   ,10, -   ,116,960,"1,093",82,"3,215"
Florida,,, , , , , , , , ,,,,
,Hialeah,HIA,522,621,32,"1,130", D , D , D ,22,524,624,34,"1,152"
,Jacksonville,JAC,338,343,22,903, D , D , D , D ,339,344,24,906
,Kendall,KND,444,535,38,992, D , D , D , D ,445,541,44,997
,Miami ,MIA,889,650,63,"2,831", D ,17, D ,66,894,667,64,"2,897"
,Oakland Park,OKL,"1,250",987,81,"2,845", D ,13,15,31,"1,251","1,000",96,"2,876"
,Orlando ,ORL,871,975,89,"2,647", D ,25, -   ,97,872,"1,000",89,"2,744"
,TAM,TAM,802,905,74,"2,077", D , D , -   , D ,804,911,74,"2,085"
,West Palm Beach,WPB,604,583,66,"1,402", D ,11, D ,23,608,594,68,"1,425"
Georgia,,, , , , , , , , ,,,,
