,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 163,729 "," 143,909 "," 9,699 "," 312,443 "," 74,639 "," 33,292 "," 5,098 "," 577,951 "," 238,368 "," 177,201 "," 14,797 "," 890,394 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,
,Anchorage ,ANC, 72 , 35 , D , 189 , -   , -   , -   , D , 72 , 35 , D , 195 ,
Arizona,,, , , , , , , , ,,,,,
 ,Phoenix ,PHO," 1,108 ", 892 , 66 ," 1,819 ", D , 34 , -   , D ," 1,109 ", 926 , 66 ," 1,828 ",
,Tucson,TUC, 378 , 524 , 17 , 809 , D , D , D , D , 379 , 529 , 18 , 812 ,
Arkansas,,, , , , , , , , ,,,,,
,Fort Smith ,FSA, 106 , 202 , D , 203 , -   , D , D , -   , 106 , 208 , D , 203 ,
California,,, , , , , , , , ,,,,,
,Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,Fresno ,FRE, 578 , 284 , 16 , 968 , D , D , D , 33 , 579 , 291 , 18 ," 1,001 ",
,Imperial,IMP, 119 , 210 , D , 195 , D , -   , -   , D , 120 , 210 , D , 198 ,
,Los Angeles ,LOS," 1,642 "," 1,297 ", 148 ," 3,229 ", D , 22 , D , 30 ," 1,647 "," 1,319 ", 151 ," 3,259 ",
,Los Angeles County ,LAC," 1,848 "," 1,407 ", 138 ," 3,433 ", D , 24 , D , 62 ," 1,850 "," 1,431 ", 140 ," 3,495 ",
,Sacramento ,SAC, 649 , 901 , 60 ," 1,673 ", -   , 13 , D , 14 , 649 , 914 , 61 ," 1,687 ",
,San Bernardino,SBD," 1,473 ", 966 , 106 ," 2,158 ", D , D , D , 56 ," 1,477 ", 972 , 107 ," 2,214 ",
,San Diego ,SND," 1,061 ", 746 , 56 ," 2,762 ", D , D , D , D ," 1,063 ", 755 , 57 ," 2,770 ",
,San Fernando Valley,SFV," 1,095 ", 886 , 72 ," 2,419 ", -   , 33 , D , 19 ," 1,095 ", 919 , 78 ," 2,438 ",
,San Francisco,SFR," 1,768 "," 1,213 ", 66 ," 4,539 ", D , 26 , -   , 17 ," 1,770 "," 1,239 ", 66 ," 4,556 ",
,San Jose ,SNJ, 883 , 689 , 40 ," 2,100 ", D , 12 , D , 60 , 886 , 701 , 43 ," 2,160 ",
,Santa Ana,SAA," 1,296 ", 728 , 94 ," 3,213 ", D , 29 , 12 , D ," 1,297 ", 757 , 106 ," 3,216 ",
Colorado,,, , , , , , , , ,,,,,
,Denver ,DEN, 944 , 478 , 64 ," 3,448 ", D , 10 , D , 19 , 945 , 488 , 65 ," 3,467 ",
Connecticut,,, , , , , , , , ,,,,,
,Hartford ,HAR, 729 , 636 , 96 ," 2,051 ", D , D , D , 125 , 730 , 645 , 97 ," 2,176 ",
   Delaware,,, , , , , , , , ,,,,,
,Dover,DVD, -   , 37 , -   , 11 , -   , -   , -   , -   , -   , 37 , -   , 11 ,
District of Columbia,,, , , , , , , , ,,,,,
