"Number.of.I.130.Alien.Relative.Petitions.by.Category.of.Relatives..Case.Status..and.USCIS.Field.Office.or.Service.Center.Location..","X","code","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"Alaska","Anchorage ","ANC",105,83,18,237,NA,NA,NA,NA
"Arizona","Phoenix ","PHO",1002,871,48,2872,15,14,NA,136
"Arizona","Tucson","TUC",327,304,NA,878,NA,NA,NA,54
"Arkansas","Fort Smith ","FSA",107,82,NA,334,NA,NA,NA,14
"California","Chula Vista","CVC",674,367,27,1860,22,13,NA,90
"California","Fresno ","FRE",709,445,17,2115,NA,31,NA,57
"California","Imperial","IMP",141,189,NA,372,14,NA,NA,42
"California","Los Angeles ","LOS",1815,1712,76,4565,52,63,NA,251
"California","Los Angeles County ","LAC",1921,1473,207,5884,40,31,26,369
"California","Sacramento ","SAC",761,620,60,2180,15,NA,NA,78
"California","San Bernardino","SBD",1458,1133,96,3967,25,27,15,169
"California","San Diego ","SND",526,296,20,1408,28,NA,NA,88
"California","San Fernando Valley","SFV",1267,1012,62,3465,17,10,NA,195
"California","San Francisco","SFR",1897,1484,69,4821,39,93,NA,262
"California","San Jose ","SNJ",1189,775,27,3225,47,82,NA,138
"California","Santa Ana","SAA",1310,915,51,3942,40,24,NA,278
"Colorado","Denver ","DEN",910,452,88,2744,15,NA,NA,89
"Connecticut","Hartford ","HAR",820,501,49,2558,14,NA,NA,102
"Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA
"District of Columbia","Washington ","WAS",1453,1334,174,4487,43,55,14,192
"Florida","Hialeah","HIA",604,348,32,1754,14,26,NA,79
"Florida","Jacksonville","JAC",404,304,56,999,NA,NA,NA,35
"Florida","Kendall","KND",572,508,43,1832,10,17,NA,98
"Florida","Miami ","MIA",932,650,89,3686,28,25,16,201
"Florida","Oakland Park","OKL",1293,1125,63,3638,23,50,NA,158
"Florida","Orlando ","ORL",919,570,94,3330,15,NA,NA,92
"Florida","Tampa ","TAM",904,589,82,2950,15,NA,NA,123
"Florida","West Palm Beach","WPB",681,482,80,1898,17,14,NA,244
"Georgia","Atlanta ","ATL",1967,2444,100,7331,57,58,NA,290
"Hawaii","Honolulu ","HHW",336,288,29,667,NA,NA,NA,30
"Idaho","Boise ","BOI",98,216,NA,329,NA,11,NA,10
"Illinois","Chicago ","CHI",2885,1318,137,9355,55,NA,NA,512
"Indiana","Indianapolis ","INP",398,413,38,1148,NA,NA,NA,49
"Iowa","Des Moines","DSM",149,262,16,457,NA,NA,NA,20
"Kansas","Wichita","WIC",142,115,NA,430,NA,NA,NA,15
"Kentucky","Louisville ","LOU",258,150,16,703,11,NA,NA,29
"Louisiana","New Orleans ","NOL",430,304,42,1491,12,NA,NA,77
"Maine","Portland ","POM",78,62,11,179,NA,NA,NA,NA
"Maryland","Baltimore ","BAL",1446,1327,95,4436,39,24,NA,132
"Massachusetts","Boston ","BOS",1506,1186,105,4176,22,24,NA,80
"Massachusetts","Lawrence","LAW",577,343,29,1670,13,NA,NA,54
"Michigan","Detroit ","DET",889,836,57,2847,15,NA,NA,293
"Minnesota","St. Paul ","SPM",834,931,72,2629,19,NA,NA,86
"Missouri","Kansas City ","KAN",344,588,47,1103,11,NA,NA,47
"Missouri","St. Louis ","STL",205,309,18,682,NA,NA,NA,35
"Montana","Helena ","HEL",39,449,NA,117,NA,NA,NA,NA
"Nebraska","Omaha ","OMA",227,419,27,700,NA,12,NA,50
"Nevada","Las Vegas ","LVG",716,601,47,1555,11,14,NA,70
"Nevada","Reno ","REN",106,173,11,367,NA,NA,NA,NA
"New Hampshire","Manchester ","MAN",135,120,NA,315,NA,NA,NA,NA
"New Jersey","Mount Laurel","MTL",580,789,80,1645,19,NA,NA,110
"New Jersey","Newark ","NEW",2812,1811,192,8120,57,26,NA,477
"New Mexico","Albuquerque ","ABQ",183,144,12,498,NA,NA,NA,19
"New York","Albany ","ALB",159,106,NA,456,NA,NA,NA,12
"New York","Buffalo ","BUF",260,314,41,742,NA,13,NA,40
"New York","Long Island","LNY",1781,1344,34,5328,37,11,NA,377
"New York","New York ","NYC",5334,4717,500,17713,108,51,NA,1194
"New York","Queens","QNS",1908,1772,55,5746,44,NA,NA,433
"North Carolina","Charlotte ","CLT",548,391,22,1428,NA,19,NA,31
"North Carolina","Raleigh","RAL",514,446,30,1554,NA,NA,NA,41
"Ohio","Cincinnati ","CIN",184,196,16,595,NA,NA,NA,22
"Ohio","Cleveland ","CLE",272,226,18,746,NA,NA,NA,21
"Ohio","Columbus","CLM",295,365,48,820,NA,NA,NA,26
"Oklahoma","Oklahoma City ","OKC",364,220,20,1179,13,NA,NA,78
"Oregon","Portland ","POO",506,326,18,1374,23,13,NA,69
"Pennsylvania","Philadelphia","PHI",1404,1139,116,4198,22,32,NA,137
"Pennsylvania","Pittsburgh ","PIT",252,138,17,558,NA,NA,NA,21
"Rhode Island","Providence ","PRO",243,229,21,614,NA,NA,NA,21
"South Carolina","Charleston ","CHL",319,319,26,1038,NA,NA,NA,43
"Tennessee","Memphis ","MEM",600,503,42,1739,14,NA,NA,73
"Texas","Dallas ","DAL",2113,1228,165,7520,54,24,NA,393
"Texas","El Paso ","ELP",641,972,39,1643,10,NA,NA,48
"Texas","Harlingen ","HLG",712,1204,43,1402,20,31,NA,54
"Texas","Houston ","HOU",2568,1913,140,6480,82,21,NA,524
"Texas","San Antonio ","SNA",1314,1046,28,3330,49,13,NA,217
