"USCIS.Field.Office.or.Service.Center.Location","X","code","Petitions.by.Category.of.Relatives.and.Case.Status","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"Alaska","Anchorage ","ANC","74","117"," D ","114"," -   "," -   "," D "," D "
"Arizona","Phoenix ","PHO","784","801","40","1,803"," D "," D "," D ","10"
"Arizona","Tucson","TUC","233","283","14","520"," -   "," D "," -   "," D "
"Arkansas","Fort Smith ","FSA","71","101"," -   ","117"," -   "," D "," D "," D "
"California","Chula Vista","CVC","464","380","11","861"," -   "," D "," D ","13"
"California","Fresno ","FRE","428","352"," D ","939"," D "," D "," D ","43"
"California","Imperial","IMP","103","160"," D ","161"," D "," D "," -   "," D "
"California","Los Angeles ","LOS","1,480","1,759","96","3,260"," D "," D "," D ","80"
"California","Los Angeles County ","LAC","1,506","1,216","150","4,092"," D ","11"," D ","54"
"California","Sacramento ","SAC","514","496","37","973"," D "," D "," -   "," D "
"California","San Bernardino","SBD","1,151","902","58","2,980"," D "," D "," D ","47"
"California","San Diego ","SND","468","295","23","946"," -   "," D "," -   ","12"
"California","San Fernando Valley","SFV","899","737","70","2,444"," D "," D "," D ","86"
"California","San Francisco","SFR","1,434","1,462","58","2,773"," -   ","25"," D ","74"
"California","San Jose ","SNJ","887","761","37","1,738"," D ","30"," D ","13"
"California","Santa Ana","SAA","933","983","81","2,162"," -   ","15"," D ","11"
"Colorado","Denver ","DEN","690","489","93","2,277"," D "," D "," D "," D "
"Connecticut","Hartford ","HAR","645","674","85","1,607"," D "," D "," D "," D "
"Delaware","Dover","DVD"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "
"District of Columbia","Washington ","WAS","1,071","775","78","2,547"," -   ","12"," -   ","21"
"Florida","Hialeah","HIA","449","422","34","1,003"," D ","14"," -   ","18"
"Florida","Jacksonville","JAC","345","283","26","576"," -   "," -   "," -   ","13"
"Florida","Kendall","KND","393","608","52","911"," D ","15"," D ","23"
"Florida","Miami ","MIA","761","1,262","69","2,337"," D ","34"," D ","102"
"Florida","Oakland Park","OKL","963","793","95","2,728"," D ","24"," D ","56"
"Florida","Orlando ","ORL","740","899","94","2,130"," D ","25"," -   ","11"
"Florida","TAM","TAM","672","734","70","2,260"," D ","21"," D ","13"
"Florida","West Palm Beach","WPB","499","478","63","1,062"," D ","15"," D "," D "
"Georgia","Atlanta ","ATL","1,509","1,554","111","2,743"," D ","24"," D ","14"
"Hawaii","Honolulu ","HHW","265","208","23","652"," -   "," -   "," D ","10"
"Idaho","Boise ","BOI","70","146","24","103"," -   "," -   "," -   "," D "
"Illinois","Chicago ","CHI","2,068","2,288","118","6,414"," D ","88"," D ","224"
"Indiana","Indianapolis ","INP","281","338","37","599"," -   ","11"," -   "," D "
"Iowa","Des Moines","DSM","125","47"," D ","344"," D "," D "," D ","23"
"Kansas","Wichita","WIC","121","141"," D ","203"," D "," D "," -   ","11"
"Kentucky","Louisville ","LOU","163","212","29","401"," -   "," D "," -   "," D "
"Louisiana","New Orleans ","NOL","339","391","48","505"," -   "," D "," D "," D "
"Maine","Portland ","POM","56","57"," D ","73"," -   "," -   "," -   "," D "
"Maryland","Baltimore ","BAL","1,028","1,128","96","2,369"," D ","12"," D ","13"
"Massachusetts","Boston ","BOS","1,141","1,105","78","2,297"," -   "," D "," D ","37"
"Massachusetts","Lawrence","LAW","388","289","33","1,034"," -   "," D "," D ","31"
"Michigan","Detroit ","DET","599","786","81","1,227"," -   ","43"," D ","125"
"Minnesota","St. Paul ","SPM","527","347","65","1,073"," -   ","22"," D "," D "
"Missouri","Kansas City ","KAN","282","224","23","580"," -   "," D "," D ","22"
"Missouri","St. Louis ","STL","156","178","14","338"," -   "," D "," D "," D "
"Montana","Helena ","HEL","31","142","12","48"," -   "," D "," -   "," -   "
"Nebraska","Omaha ","OMA","128","175"," D ","297"," D "," D "," -   "," D "
