"USCIS.Field.Office.or.Service.Center.Location","X","X.1","Petitions.by.Category.of.Relatives.and.Case.Status","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
NA,NA,NA,"Immediate Relative1","Immediate Relative1","Immediate Relative1","Immediate Relative1","All Other Relative1","All Other Relative1","All Other Relative1","All Other Relative1"
NA,NA,NA,"Petitions Received2","Approved3","Denied4","Pending5","Petitions Received2","Approved3","Denied4","Pending5"
"Total",NA,NA,"142,063","119,475","9,290","300,104","65,144","70,710","9,174","463,810"
"Alaska","Anchorage ","ANC","64","76","1","156"," -   "," -   "," -   ","1"
"Arizona","Phoenix ","PHO","973","638","16","2,674","2","1"," -   ","71"
"Arizona","Tucson","TUC","305","363","13","520","1","7"," -   ","7"
"Arkansas","Fort Smith ","FSA","100","160","13","190"," -   ","2"," -   ","5"
"California","Chula Vista","CVC","595","349","28","1,248","2","8"," -   ","8"
"California","Fresno ","FRE","439","357","49","1,168","1","14","6","37"
"California","Imperial","IMP","113","121","6","224"," -   "," -   ","1","1"
"California","Los Angeles ","LOS","1,726","1,881","93","4,484"," -   ","10","2","152"
"California","Los Angeles County ","LAC","1,748","1,661","158","3,528","2","5","1","53"
"California","Sacramento ","SAC","586","1,084","59","1,734"," -   ","12","3","5"
"California","San Bernardino","SBD","1,237","1,687","98","2,910"," -   ","5","8","60"
"California","San Diego ","SND","437","420","24","1,022","2","3","3","20"
"California","San Fernando Valley","SFV","971","957","120","2,291","2","4","10","120"
"California","San Francisco","SFR","1,532","1,594","76","3,455","3","39","6","110"
"California","San Jose ","SNJ","864","861","36","1,643","1","8","4","4"
"California","Santa Ana","SAA","1,079","398","40","3,339","1"," -   ","5","7"
"Colorado","Denver ","DEN","843","385","59","2,971"," -   ","2","2","8"
"Connecticut","Hartford ","HAR","603","386","87","1,827","2","4","1","62"
"Connecticut","Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connecticut","Dover","DVD"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "
"District of Columbia","Washington ","WAS","1,065","810","85","2,855"," -   ","7","1","52"
"Florida","Hialeah","HIA","520","1,090","33","1,405","1","11","2","6"
"Florida","Jacksonville","JAC","366","329","25","785"," -   ","2"," -   ","4"
"Florida","Kendall","KND","465","412","48","963","3","14","5","8"
"Florida","Miami ","MIA","970","779","99","2,628","2","10","3","60"
"Florida","Oakland Park","OKL","1,256","828","119","2,775","4","9","4","77"
"Florida","Orlando ","ORL","889","787","106","2,159","1","5","1","62"
"Florida","TAM","TAM","833","1,003","105","2,022"," -   ","10","1","93"
"Florida","West Palm Beach","WPB","609","595","78","1,534","1","11","32","5"
"Georgia","Atlanta ","ATL","1,740","1,149","129","4,236","6","32","2","56"
"Hawaii","Honolulu ","HHW","265","261","15","562"," -   ","3"," -   ","2"
"Idaho","Boise ","BOI","78","520","12","245"," -   ","3"," -   ","3"
"Illinois","Chicago ","CHI","2,341","2,345","162","7,179","3","48","7","336"
"Indiana","Indianapolis ","INP","312","333","44","638"," -   ","4","2","7"
"Iowa","Des Moines","DSM","117","163","11","292","2"," -   "," -   ","3"
"Kansas","Wichita","WIC","138","140","8","263"," -   ","2"," -   ","6"
"Kentucky","Louisville ","LOU","184","127","26","456"," -   ","9","2","2"
"Louisiana","New Orleans ","NOL","384","409","35","689","1","11"," -   ","1"
"Maine","Portland ","POM","68","243","10","154"," -   "," -   "," -   "," -   "
"Maryland","Baltimore ","BAL","1,156","617","53","3,784","1","10","1","20"
"Massachusetts","Boston ","BOS","1,252","663","24","3,608","2","8"," -   ","15"
"Massachusetts","Lawrence","LAW","439","168","29","1,455","1","8","1","1"
"Michigan","Detroit ","DET","591","526","62","1,749"," -   ","19","5","353"
"Minnesota","St. Paul ","SPM","455","401","66","1,493"," -   ","4","1","22"
"Missouri","Kansas City ","KAN","306","390","34","663"," -   "," -   "," -   ","9"
"Missouri","St. Louis ","STL","162","196","9","516"," -   ","2"," -   ","4"
"Montana","Helena ","HEL","39","212","2","97","1","2"," -   ","1"
"Nebraska","Omaha ","OMA","148","373","68","387","1","9","7","20"
"Nevada","Las Vegas ","LVG","682","524","56","1,723","2","3","1","13"
"Nevada","Reno ","REN","88","182","7","362"," -   ","1"," -   ","3"
"New Hampshire","Manchester ","MAN","97","199","13","261"," -   ","2","1"," -   "
"New Jersey","Mount Laurel","MTL","465","542","47","1,206"," -   ","3","4","5"
"New Jersey","Newark ","NEW","2,410","2,057","159","5,172","2","12","7","16"
"New Mexico","Albuquerque ","ABQ","182","297","21","315","1"," -   "," -   ","6"
"New York","Albany ","ALB","104","48","8","373"," -   "," -   ","1","13"
"New York","Buffalo ","BUF","193","467","23","709"," -   ","12","6","73"
"New York","Long Island","LNY","1,369","651","31","4,501","2","19"," -   ","58"
"New York","New York ","NYC","4,130","3,977","578","11,657","5","104","8","513"
"New York","Queens","QNS","1,372","300","36","4,311"," -   ","10","1","170"
"North Carolina","Charlotte ","CLT","407","456","31","676"," -   ","1"," -   ","3"
"North Carolina","Raleigh","RAL","442","824","28","998","1","26","1","5"
"Ohio","Cincinnati ","CIN","162","185","16","295"," -   ","2"," -   ","5"
"Ohio","Cleveland ","CLE","245","196","30","432"," -   ","4"," -   ","3"
"Ohio","Columbus","CLM","235","245","45","443"," -   ","4","5","3"
"Oklahoma","Oklahoma City ","OKC","268","220","21","933"," -   ","6"," -   ","55"
"Oregon","Portland ","POO","416","426","22","986"," -   ","4","3","1"
"Pennsylvania","Philadelphia","PHI","1,001","1,319","101","2,336"," -   ","3"," -   ","3"
"Pennsylvania","Pittsburgh ","PIT","192","147","16","685"," -   ","2"," -   ","4"
"Rhode Island","Providence ","PRO","156","418","17","458"," -   ","5"," -   ","5"
"South Carolina","Charleston ","CHL","252","273","21","566"," -   ","7","1","10"
"Tennessee","Memphis ","MEM","442","462","8","1,092","1","2","1","56"
"Texas","Dallas ","DAL","1,986","1,527","157","7,313","4","8","6","234"
