USCIS.Field.Office.or.Service.Center.Location,X,X.1,Petitions.by.Category.of.Relatives.and.Case.Status,X.2,X.3,X.4,X.5,X.6,X.7,X.8
Alaska,Anchorage ,ANC,78,61,NA,183,NA,NA,NA,NA
Arizona,Phoenix ,PHO,916,495,33,2195,NA,NA,NA,21
Arizona,Tucson,TUC,328,543,NA,800,NA,10,NA,NA
Arkansas,Fort Smith ,FSA,117,135,NA,230,NA,NA,NA,NA
California,Chula Vista,CVC,NA,NA,NA,NA,NA,NA,NA,NA
California,Fresno ,FRE,613,430,40,1056,NA,NA,NA,32
California,Imperial,IMP,111,199,14,199,NA,NA,NA,NA
California,Los Angeles ,LOS,1532,1357,71,3310,NA,14,NA,53
California,Los Angeles County ,LAC,1804,1379,170,3528,NA,16,NA,46
California,Sacramento ,SAC,670,1159,54,1325,NA,14,NA,NA
California,San Bernardino,SBD,1427,1412,81,2455,NA,10,NA,33
California,San Diego ,SND,1054,842,26,2790,NA,NA,NA,NA
California,San Fernando Valley,SFV,1030,819,74,2695,NA,34,NA,11
California,San Francisco,SFR,1739,1356,42,4898,NA,19,NA,36
California,San Jose ,SNJ,923,549,18,2504,NA,NA,NA,48
California,Santa Ana,SAA,1280,894,69,3475,NA,20,15,NA
Colorado,Denver ,DEN,843,1097,70,3017,NA,NA,NA,18
Connecticut,Hartford ,HAR,702,436,103,2161,NA,NA,NA,123
Delaware,Dover,DVD,NA,44,NA,NA,NA,NA,NA,NA
District of Columbia,Washington ,WAS,1224,368,44,3765,NA,10,NA,146
Florida,Hialeah,HIA,602,659,34,1530,NA,NA,NA,12
Florida,Jacksonville,JAC,459,580,40,931,NA,NA,NA,NA
Florida,Kendall,KND,491,186,34,1646,NA,10,NA,NA
Florida,Miami ,MIA,937,623,75,3552,NA,32,NA,30
Florida,Fort Myers,OFM,90,NA,NA,903,NA,NA,NA,10
Florida,Oakland Park,OKL,1320,443,80,4390,NA,10,NA,28
Florida,Orlando ,ORL,1004,674,92,3492,NA,18,NA,74
Florida,TAM,TAM,833,453,47,2424,NA,NA,NA,NA
Florida,West Palm Beach,WPB,739,766,88,1613,NA,NA,NA,137
Georgia,Atlanta ,ATL,2157,1946,133,5026,NA,48,NA,75
Hawaii,Honolulu ,HHW,242,231,32,515,NA,10,NA,NA
Idaho,Boise ,BOI,101,414,NA,206,NA,NA,NA,NA
Illinois,Chicago ,CHI,2635,1920,139,6223,NA,58,NA,191
Indiana,Indianapolis ,INP,412,394,57,797,NA,NA,NA,NA
Iowa,Des Moines,DSM,129,57,NA,499,NA,NA,NA,14
Kansas,Wichita,WIC,162,118,NA,394,NA,NA,NA,NA
Kentucky,Louisville ,LOU,171,169,23,418,NA,NA,NA,NA
Louisiana,New Orleans ,NOL,338,326,26,782,NA,NA,NA,NA
Maine,Portland ,POM,62,316,11,158,NA,NA,NA,NA
Maryland,Baltimore ,BAL,1272,562,43,4280,NA,NA,NA,236
Massachusetts,Boston ,BOS,1430,1371,134,4130,NA,16,NA,157
Massachusetts,Lawrence,LAW,474,482,71,1102,NA,NA,NA,44
Michigan,Detroit ,DET,744,969,100,1403,NA,27,NA,175
Minnesota,St. Paul ,SPM,568,79,20,2121,NA,NA,NA,17
Missouri,Kansas City ,KAN,422,592,13,733,NA,NA,NA,NA
Missouri,St. Louis ,STL,188,49,NA,938,NA,NA,NA,NA
Montana,Helena ,HEL,34,189,NA,199,NA,NA,NA,NA
Nebraska,Omaha ,OMA,125,308,46,494,NA,NA,NA,NA
Nevada,Las Vegas ,LVG,738,229,57,2240,NA,NA,NA,NA
Nevada,Reno ,REN,115,330,19,539,NA,NA,NA,NA
