"state","city","code","immid_R.2015.1","immid_A.2015.1","immid_D.2015.1","immid_P.2015.1","other_R.2015.1","other_A.2015.1","other_D.2015.1","other_P.2015.1","immid_R.2015.2","immid_A.2015.2","immid_D.2015.2","immid_P.2015.2","other_R.2015.2","other_A.2015.2","other_D.2015.2","other_P.2015.2","immid_R.2015.3","immid_A.2015.3","immid_D.2015.3","immid_P.2015.3","other_R.2015.3","other_A.2015.3","other_D.2015.3","other_P.2015.3","immid_R.2015.4","immid_A.2015.4","immid_D.2015.4","immid_P.2015.4","other_R.2015.4","other_A.2015.4","other_D.2015.4","other_P.2015.4","immid_R.2016.1","immid_A.2016.1","immid_D.2016.1","immid_P.2016.1","other_R.2016.1","other_A.2016.1","other_D.2016.1","other_P.2016.1","immid_R.2016.2","immid_A.2016.2","immid_D.2016.2","immid_P.2016.2","other_R.2016.2","other_A.2016.2","other_D.2016.2","other_P.2016.2","immid_R.2016.3","immid_A.2016.3","immid_D.2016.3","immid_P.2016.3","other_R.2016.3","other_A.2016.3","other_D.2016.3","other_P.2016.3","immid_R.2016.4","immid_A.2016.4","immid_D.2016.4","immid_P.2016.4","other_R.2016.4","other_A.2016.4","other_D.2016.4","other_P.2016.4"
"Alaska","Anchorage ","ANC","77",96,NA,122,NA,NA,NA,NA,62,89,11,121,NA,NA,NA,NA,64,76,1,156,NA,NA,NA,1,66,65,NA,174,NA,NA,NA,NA,72,58,15,174,NA,NA,NA,NA,60,43,NA,177,NA,NA,NA,NA,72,35,NA,189,NA,NA,NA,NA,78,61,NA,183,NA,NA,NA,NA
"Arizona","Phoenix ","PHO","698",519,31,2007,NA,NA,NA,44,762,559,25,2176,NA,NA,NA,48,973,638,16,2674,2,1,NA,71,904,876,33,2827,NA,NA,NA,80,838,1273,30,2205,NA,13,NA,76,841,1269,129,1562,NA,28,NA,27,1108,892,66,1819,NA,34,NA,NA,916,495,33,2195,NA,NA,NA,21
"Arizona","Tucson","TUC","262",191,NA,592,NA,NA,NA,NA,302,233,18,608,NA,NA,NA,NA,305,363,13,520,1,7,NA,7,334,389,15,587,NA,NA,NA,NA,291,477,16,545,NA,NA,NA,11,312,460,NA,604,NA,NA,NA,11,378,524,17,809,NA,NA,NA,NA,328,543,NA,800,NA,10,NA,NA
"Arkansas","Fort Smith ","FSA","79",59,NA,216,NA,NA,NA,NA,64,81,NA,221,NA,NA,NA,NA,100,160,13,190,NA,2,NA,5,82,117,10,190,NA,NA,NA,NA,98,106,NA,192,NA,NA,NA,NA,94,171,NA,NA,NA,NA,NA,NA,106,202,NA,203,NA,NA,NA,NA,117,135,NA,230,NA,NA,NA,NA
"California","Chula Vista","CVC","519",335,20,1056,NA,NA,NA,11,473,484,31,1051,NA,NA,NA,10,595,349,28,1248,2,8,NA,8,507,368,31,1237,NA,NA,NA,NA,547,422,26,1267,NA,NA,NA,NA,327,198,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California","Fresno ","FRE","394",346,19,1033,NA,NA,NA,24,420,360,45,1096,NA,NA,NA,32,439,357,49,1168,1,14,6,37,512,417,15,1255,NA,NA,NA,40,455,530,41,963,NA,12,NA,38,444,414,36,916,NA,NA,NA,48,578,284,16,968,NA,NA,NA,33,613,430,40,1056,NA,NA,NA,32
"California","Imperial","IMP","73",113,NA,162,NA,NA,NA,NA,100,133,NA,181,NA,NA,NA,NA,113,121,6,224,NA,NA,1,1,87,253,NA,189,NA,NA,NA,NA,78,218,NA,170,NA,NA,NA,NA,94,192,NA,163,NA,NA,NA,NA,119,210,NA,195,NA,NA,NA,NA,111,199,14,199,NA,NA,NA,NA
"California","Los Angeles ","LOS","1,518",1249,104,3757,NA,15,NA,84,1435,1487,109,3925,NA,NA,NA,103,1726,1881,93,4484,NA,10,2,152,1618,2175,146,5244,NA,59,NA,104,1343,1852,97,2807,NA,11,NA,43,1406,1425,164,2743,NA,27,NA,36,1642,1297,148,3229,NA,22,NA,30,1532,1357,71,3310,NA,14,NA,53
"California","Los Angeles County ","LAC","1,476",1286,97,4178,NA,12,NA,58,1371,1303,96,4009,NA,12,NA,47,1748,1661,158,3528,2,5,1,53,1600,1660,108,2499,NA,15,NA,41,1565,1194,80,3363,NA,NA,NA,91,1453,1302,93,3291,NA,NA,NA,85,1848,1407,138,3433,NA,24,NA,62,1804,1379,170,3528,NA,16,NA,46
"California","Sacramento ","SAC","555",411,36,1274,NA,13,NA,NA,511,628,45,1372,NA,NA,NA,NA,586,1084,59,1734,NA,12,3,5,537,1088,39,1815,NA,15,NA,NA,548,769,41,1704,NA,NA,NA,NA,628,651,47,1976,NA,NA,NA,NA,649,901,60,1673,NA,13,NA,14,670,1159,54,1325,NA,14,NA,NA
