city,listing_id,bathrooms,price_per_sqft,build_year,url,price,bedrooms,state,longitude,zip_code,partial_bathrooms,street,address,latitude,house_type,state_code,sqft,neighborhood
New York,3043582676,3,1566.6666,1914,https://www.trulia.com/property/3043582676-15-Broad-St-PH3910-New-York-NY-10005,4700000,4,New York,-74.01059,10005,,Broad St,"15 Broad Street #PH3910, New York, NY",40.70653,Condo,NY,3000,Financial District
New York,3257142939,1,1295,1960,https://www.trulia.com/property/3257142939-150-E-61st-St-11D-New-York-NY-10065,1295000,1,New York,-73.966995,10065,1,E 61st St,"150 East 61st Street #11D, New York, NY",40.76321,Coop,NY,1000,Upper East Side
New York,3191976915,2,1040,1930,https://www.trulia.com/property/3191976915-424-E-52nd-St-2A-New-York-NY-10022,1300000,2,New York,-73.96413,10022,0,E 52nd St,"424 East 52nd Street #2A, New York, NY",40.754414,Coop,NY,1250,Midtown East
New York,3235400226,2,1114.6497,1924,https://www.trulia.com/property/3235400226-108-E-86th-St-8N-New-York-NY-10028,1750000,2,New York,-73.95673,10028,,E 86th St,"108 East 86th Street #8N, New York, NY",40.77967,Coop,NY,1570,Upper East Side
New York,3152331162,2,1606.1,1910,https://www.trulia.com/property/3152331162-252-7th-Ave-5Q-New-York-NY-10001,2475000,1,New York,-73.99548,10001,0,7th Ave,"252 7th Avenue #5Q, New York, NY",40.74531,Condo,NY,1541,Chelsea
New York,3258560932,1,1683.5,1984,https://www.trulia.com/property/3258560932-333-Rector-Pl-PH4-New-York-NY-10280,999999,,New York,-74.01724,10280,,Rector Pl,"333 Rector Place #PH4, New York, NY",40.709694,Condo,NY,594,Battery Park City
New York,3118219493,2,1818.1818,2008,https://www.trulia.com/property/3118219493-22-Renwick-St-3A-New-York-NY-10013,2000000,2,New York,-74.00831,10013,,Renwick St,"22 Renwick Street #3A, New York, NY",40.725,Condo,NY,1100,SoHo
New York,3238043035,1,0,1910,https://www.trulia.com/property/3238043035-8-Morningside-Ave-5S-New-York-NY-10026,395000,2,New York,-73.95796,10026,0,Morningside Ave,"8 Morningside Avenue #5S, New York, NY",40.804394,Coop,NY,,Morningside Heights
New York,3259242627,1,0,1942,https://www.trulia.com/property/3259242627-300-W-72nd-St-1D-New-York-NY-10023,1100000,3,New York,-73.95831,10023,,W 72nd St,"300 West 72nd Street #1D, New York, NY",40.768547,Coop,NY,,Upper East Side
New York,3258229665,1,833.3333,,https://www.trulia.com/property/3258229665-706-Riverside-Dr-2A-New-York-NY-10031,1125000,3,New York,-73.950226,10031,,Riverside Dr,"706 Riverside Drive #2A, New York, NY",40.828598,Condo,NY,1350,Harlem
New York,3258269247,1,0,1930,https://www.trulia.com/property/3258269247-433-W-34th-St-3C-New-York-NY-10001,389000,,New York,-73.99774,10001,0,W 34th St,"433 West 34th Street #3C, New York, NY",40.754295,Coop,NY,,Hell's Kitchen
New York,3243422078,4,0,,https://www.trulia.com/property/3243422078-127-W-120th-St-New-York-NY-10027,3820000,,New York,-73.94905,10027,,W 120th St,"127 West 120th Street, New York, NY",40.805355,Townhome,NY,,Harlem
New York,3259242841,3,1917.4108,1858,https://www.trulia.com/property/3259242841-119-Chambers-St-2-New-York-NY-10007,4295000,3,New York,-74.00845,10007,1,Chambers St,"119 Chambers Street #2, New York, NY",40.715385,Condo,NY,2240,Tribeca
New York,3228324675,3,0,,https://www.trulia.com/property/3228324675-160-W-66th-St-26C26D-New-York-NY-10023,4210000,3,New York,-73.98362,10023,1,W 66th St,"160 West 66th Street #26C26D, New York, NY",40.77432,Condo,NY,,Upper West Side
New York,3258856539,3,0,1922,https://www.trulia.com/property/3258856539-505-W-End-Ave-6AAB-New-York-NY-10024,3597000,4,New York,-73.97898,10024,0,W End Ave,"505 West End Avenue #6AAB, New York, NY",40.787884,Coop,NY,,Upper West Side
New York,3125856853,0,0,1910,https://www.trulia.com/property/3125856853-431-E-87th-St-New-York-NY-10128,6000000,,New York,-73.94741,10128,,E 87th St,"431 East 87th Street, New York, NY",40.77718,Multi-Family Home,NY,,Upper East Side
New York,3243293850,3,0,1924,https://www.trulia.com/property/3243293850-1111-Park-Ave-7B-New-York-NY-10128,5525000,4,New York,-73.95496,10128,,Park Ave,"1111 Park Avenue #7B, New York, NY",40.782333,Coop,NY,,Upper East Side
New York,3212837694,3,0,2016,https://www.trulia.com/property/3212837694-50-West-St-32C-New-York-NY-10006,6435000,3,New York,-74.014915,10006,1,West St,"50 West Street #32C, New York, NY",40.708714,Condo,NY,,Financial District
New York,3126887087,4,0,,https://www.trulia.com/property/3126887087-700-Park-Ave-16B-New-York-NY-10021,5300000,3,New York,-73.965515,10021,1,Park Ave,"700 Park Avenue #16B, New York, NY",40.76953,Coop,NY,,Upper East Side
New York,3242218010,0,0,,https://www.trulia.com/property/3242218010-518-W-44th-St-New-York-NY-10036,17000000,,New York,-73.99573,10036,,W 44th St,"518 West 44th Street, New York, NY",40.76119,Lot/Land,NY,,Clinton
New York,3241197101,0,0,,https://www.trulia.com/property/3241197101-356-W-40th-St-New-York-NY-10018,19900000,,New York,-73.993256,10018,,W 40th St,"356 West 40th Street, New York, NY",40.756847,Townhome,NY,,Garment District
New York,3241323707,0,0,,https://www.trulia.com/property/3241323707-685-Washington-St-139-Charles-St-New-York-NY-10014,45000000,,New York,-74.00665,10014,,Washington St 139 Charles St,"685 Washington Street 139 Charles Street, New York, NY",40.73388,Lot/Land,NY,,
